pair_id,overlap_ratio,snr_db,gate,cer_raw,cer_gated,dist_raw,dist_gated,fired
0,0.1,10.0,flatness,1.333333,1.333333,0.185227,0.224591,1
0,0.1,10.0,speaker,1.333333,0.6,0.185227,0.187736,1
0,0.1,5.0,flatness,0.466667,0.466667,0.428719,0.434917,1
0,0.1,5.0,speaker,0.466667,0.6,0.428719,0.423181,1
0,0.1,10.0,flatness,1.352941,1.411765,0.22342,0.685385,1
0,0.1,10.0,speaker,1.352941,0.235294,0.22342,0.67886,1
0,0.1,5.0,flatness,1.0,0.823529,0.305088,0.773018,1
0,0.1,5.0,speaker,1.0,1.0,0.305088,0.753902,0
0,0.3,10.0,flatness,0.466667,0.466667,0.293955,0.345061,1
0,0.3,10.0,speaker,0.466667,0.466667,0.293955,0.301024,1
0,0.3,5.0,flatness,0.666667,0.8,0.411048,0.425911,1
0,0.3,5.0,speaker,0.666667,0.666667,0.411048,0.399867,1
0,0.3,10.0,flatness,0.588235,0.588235,0.24763,0.71446,1
0,0.3,10.0,speaker,0.588235,0.529412,0.24763,0.700625,1
0,0.3,5.0,flatness,1.529412,1.705882,0.383133,0.737236,1
0,0.3,5.0,speaker,1.529412,0.470588,0.383133,0.363595,1
1,0.1,10.0,flatness,1.0,0.818182,0.230784,0.256207,1
1,0.1,10.0,speaker,1.0,0.818182,0.230784,0.223048,1
1,0.1,5.0,flatness,2.454545,1.0,0.319814,0.355585,1
1,0.1,5.0,speaker,2.454545,1.454545,0.319814,0.315373,1
1,0.1,10.0,flatness,0.7,0.7,0.311309,0.347111,1
1,0.1,10.0,speaker,0.7,0.5,0.311309,0.313781,1
1,0.1,5.0,flatness,1.0,4.3,0.401364,0.45647,1
1,0.1,5.0,speaker,1.0,1.0,0.401364,0.417848,1
1,0.3,10.0,flatness,0.727273,0.818182,0.2319,0.239829,1
1,0.3,10.0,speaker,0.727273,0.818182,0.2319,0.270356,1
1,0.3,5.0,flatness,1.545455,2.545455,0.254319,0.351835,1
1,0.3,5.0,speaker,1.545455,0.818182,0.254319,0.270186,1
1,0.3,10.0,flatness,0.6,0.6,0.345444,0.385529,1
1,0.3,10.0,speaker,0.6,0.7,0.345444,0.341519,1
1,0.3,5.0,flatness,2.9,1.0,0.398874,0.444384,1
1,0.3,5.0,speaker,2.9,18.2,0.398874,0.413515,1
2,0.1,10.0,flatness,0.818182,0.818182,0.253037,0.224821,1
2,0.1,10.0,speaker,0.818182,0.727273,0.253037,0.25174,1
2,0.1,5.0,flatness,0.909091,0.818182,0.273739,0.230765,1
2,0.1,5.0,speaker,0.909091,0.727273,0.273739,0.271152,1
2,0.1,10.0,flatness,1.142857,0.142857,0.595759,0.567503,1
2,0.1,10.0,speaker,1.142857,0.142857,0.595759,0.600658,1
2,0.1,5.0,flatness,2.714286,0.571429,0.615873,0.622788,1
2,0.1,5.0,speaker,2.714286,1.0,0.615873,0.581343,1
2,0.3,10.0,flatness,0.909091,0.909091,0.230339,0.20617,1
2,0.3,10.0,speaker,0.909091,0.909091,0.230339,0.234086,1
2,0.3,5.0,flatness,0.909091,0.909091,0.436705,0.416667,1
2,0.3,5.0,speaker,0.909091,0.909091,0.436705,0.403264,0
2,0.3,10.0,flatness,0.428571,0.142857,0.585694,0.55711,1
2,0.3,10.0,speaker,0.428571,0.142857,0.585694,0.601916,1
2,0.3,5.0,flatness,0.571429,0.571429,0.634045,0.630577,1
2,0.3,5.0,speaker,0.571429,0.571429,0.634045,0.630611,1
3,0.1,10.0,flatness,1.0,1.0,0.133454,0.189278,0
3,0.1,10.0,speaker,1.0,1.0,0.133454,0.162925,1
3,0.1,5.0,flatness,1.0,1.0,0.966692,0.968197,0
3,0.1,5.0,speaker,1.0,1.0,0.966692,0.965133,1
3,0.1,10.0,flatness,0.333333,0.222222,0.712339,0.724708,1
3,0.1,10.0,speaker,0.333333,0.444444,0.712339,0.704842,1
3,0.1,5.0,flatness,1.0,1.333333,0.734746,0.751699,1
3,0.1,5.0,speaker,1.0,1.111111,0.734746,0.743945,1
3,0.3,10.0,flatness,0.888889,0.888889,0.203064,0.207112,1
3,0.3,10.0,speaker,0.888889,0.777778,0.203064,0.112642,1
3,0.3,5.0,flatness,1.0,1.0,0.970755,0.968672,1
3,0.3,5.0,speaker,1.0,1.0,0.970755,0.971892,1
3,0.3,10.0,flatness,2.333333,2.0,0.720206,0.708842,1
3,0.3,10.0,speaker,2.333333,0.777778,0.720206,0.703409,1
3,0.3,5.0,flatness,0.444444,1.0,0.740425,0.748614,1
3,0.3,5.0,speaker,0.444444,0.555556,0.740425,0.746691,1
4,0.1,10.0,flatness,0.666667,0.666667,0.139977,0.222139,0
4,0.1,10.0,speaker,0.666667,0.666667,0.139977,0.145077,1
4,0.1,5.0,flatness,1.111111,1.111111,0.82588,0.825621,1
4,0.1,5.0,speaker,1.111111,1.333333,0.82588,0.822608,1
4,0.1,10.0,flatness,1.363636,10.454545,0.088315,0.903817,1
4,0.1,10.0,speaker,1.363636,0.636364,0.088315,0.149331,1
4,0.1,5.0,flatness,2.727273,2.0,0.164321,0.224046,1
4,0.1,5.0,speaker,2.727273,0.727273,0.164321,0.198514,1
4,0.3,10.0,flatness,1.222222,0.777778,0.158837,0.162428,1
4,0.3,10.0,speaker,1.222222,0.888889,0.158837,0.173302,1
4,0.3,5.0,flatness,1.444444,1.555556,0.256066,0.195375,1
4,0.3,5.0,speaker,1.444444,1.0,0.256066,0.248517,1
4,0.3,10.0,flatness,1.727273,0.545455,0.069013,0.145935,1
4,0.3,10.0,speaker,1.727273,0.818182,0.069013,0.126426,1
4,0.3,5.0,flatness,1.363636,1.0,0.135256,0.186406,1
4,0.3,5.0,speaker,1.363636,0.818182,0.135256,0.175085,1
5,0.1,10.0,flatness,0.777778,0.777778,0.382471,0.377173,1
5,0.1,10.0,speaker,0.777778,0.888889,0.382471,0.364212,1
5,0.1,5.0,flatness,19.888889,1.0,0.462201,0.455291,1
5,0.1,5.0,speaker,19.888889,1.0,0.462201,0.465491,1
5,0.1,10.0,flatness,3.0,2.375,0.297431,0.356483,1
5,0.1,10.0,speaker,3.0,1.375,0.297431,0.307182,1
5,0.1,5.0,flatness,11.75,11.75,0.430475,0.478979,0
5,0.1,5.0,speaker,11.75,1.0,0.430475,0.425129,1
5,0.3,10.0,flatness,0.777778,0.777778,0.351853,0.31858,1
5,0.3,10.0,speaker,0.777778,0.777778,0.351853,0.321739,1
5,0.3,5.0,flatness,24.777778,1.444444,0.89287,0.466131,1
5,0.3,5.0,speaker,24.777778,24.777778,0.89287,0.885446,1
5,0.3,10.0,flatness,0.75,0.75,0.302355,0.354058,1
5,0.3,10.0,speaker,0.75,1.0,0.302355,0.304,1
5,0.3,5.0,flatness,2.75,1.375,0.729858,0.448547,1
5,0.3,5.0,speaker,2.75,1.0,0.729858,0.78818,1
6,0.1,10.0,flatness,0.555556,0.555556,0.087965,0.722899,1
6,0.1,10.0,speaker,0.555556,0.444444,0.087965,0.155388,1
6,0.1,5.0,flatness,0.444444,0.444444,0.209124,0.291575,0
6,0.1,5.0,speaker,0.444444,24.444444,0.209124,0.241224,1
6,0.1,10.0,flatness,1.111111,0.777778,0.942014,0.936917,1
6,0.1,10.0,speaker,1.111111,0.333333,0.942014,0.94051,1
6,0.1,5.0,flatness,1.0,1.222222,0.959634,0.958046,1
6,0.1,5.0,speaker,1.0,1.0,0.959634,0.954919,0
6,0.3,10.0,flatness,0.333333,0.333333,0.120812,0.252821,0
6,0.3,10.0,speaker,0.333333,0.333333,0.120812,0.216075,1
6,0.3,5.0,flatness,18.444444,18.444444,0.918038,0.923381,0
6,0.3,5.0,speaker,18.444444,0.777778,0.918038,0.921462,1
6,0.3,10.0,flatness,0.222222,0.555556,0.936888,0.15342,1
6,0.3,10.0,speaker,0.222222,0.222222,0.936888,0.126987,0
6,0.3,5.0,flatness,2.0,17.0,0.951894,0.951163,1
6,0.3,5.0,speaker,2.0,0.666667,0.951894,0.950075,1
7,0.1,10.0,flatness,0.615385,0.615385,0.254969,0.264443,0
7,0.1,10.0,speaker,0.615385,0.692308,0.254969,0.270989,1
7,0.1,5.0,flatness,1.0,1.0,1.049741,1.046346,0
7,0.1,5.0,speaker,1.0,1.0,1.049741,1.042324,1
7,0.1,10.0,flatness,0.444444,0.555556,0.808233,0.815071,1
7,0.1,10.0,speaker,0.444444,0.555556,0.808233,0.810576,1
7,0.1,5.0,flatness,0.666667,1.111111,0.85499,0.814535,1
7,0.1,5.0,speaker,0.666667,0.555556,0.85499,0.812496,1
7,0.3,10.0,flatness,0.769231,0.769231,0.168547,0.353012,1
7,0.3,10.0,speaker,0.769231,0.769231,0.168547,0.253317,1
7,0.3,5.0,flatness,1.307692,1.307692,1.048491,1.054971,0
7,0.3,5.0,speaker,1.307692,1.230769,1.048491,1.055506,1
7,0.3,10.0,flatness,1.444444,1.333333,0.257644,0.77196,1
7,0.3,10.0,speaker,1.444444,0.666667,0.257644,0.785172,1
7,0.3,5.0,flatness,2.111111,0.777778,0.439356,0.797892,1
7,0.3,5.0,speaker,2.111111,0.777778,0.439356,0.417828,1
