window_id,lang_id_entropy,hallucination_label,always_mixed_cpwer,always_separated_cpwer,router_v2_cpwer,oracle_best_cpwer,split_5050,in_sample_threshold,in_sample_flagged,in_sample_selected_cpwer,train_threshold_applied_to_test,test_flagged,test_selected_cpwer,kfold_threshold_for_window,kfold_selected_cpwer,loo_threshold_for_window,loo_flagged,loo_selected_cpwer
42,1.554222,1,1.5,3.0,3.0,1.5,train,0.38,True,1.5,0.01,True,1.5,,1.5,0.38,True,1.5
43,1.685816,1,1.0,1.666667,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
44,0.831474,0,1.0,1.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
45,1.378783,1,1.0,3.25,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
46,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
47,1.090274,1,1.0,2.0,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
48,1.371283,1,1.0,2.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
49,1.360527,1,1.0,2.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
50,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
51,1.324496,1,1.0,2.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
52,0.94566,0,1.0,1.0,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
53,1.080626,1,1.0,3.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
54,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
55,0.409073,1,1.0,1.333333,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
56,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
57,1.183979,1,1.0,2.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
58,0.0,0,2.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
59,0.325552,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,True,1.0,,1.0,0.38,False,1.0
60,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
61,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
62,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
63,1.426068,1,1.0,3.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
64,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
65,1.313896,1,1.0,2.666667,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
66,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
67,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
68,1.465538,1,1.0,3.0,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
69,0.967193,1,1.0,1.5,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
70,1.171037,1,1.0,1.666667,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
71,0.0,0,1.0,1.0,1.0,1.0,test,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
72,1.113908,1,1.0,1.75,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
73,1.411981,1,1.0,4.333333,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
74,1.384432,1,1.0,1.5,1.0,1.0,test,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
75,0.0,0,1.0,1.0,1.0,1.0,train,0.38,False,1.0,0.01,False,1.0,,1.0,0.38,False,1.0
76,0.940959,1,1.0,3.0,1.0,1.0,train,0.38,True,1.0,0.01,True,1.0,,1.0,0.38,True,1.0
