pair_id,overlap_ratio,alpha,cer_mixed,cer_sep,cer_benefit,emotion_benefit
0,0.0,0.15,0.46875,1.125,-0.65625,0.0
0,0.1,0.15,0.46875,1.125,-0.65625,0.063366
0,0.3,0.15,0.53125,0.6875,-0.15625,0.275148
0,0.6,0.15,0.4375,0.625,-0.1875,0.19368
0,0.9,0.15,0.78125,0.3125,0.46875,0.49741
1,0.0,0.15,0.380952,1.095238,-0.714286,0.0
1,0.1,0.15,0.380952,1.095238,-0.714286,0.350899
1,0.3,0.15,0.428571,0.952381,-0.52381,0.1218
1,0.6,0.15,0.666667,0.761905,-0.095238,0.103986
1,0.9,0.15,0.904762,0.619048,0.285714,0.243488
2,0.0,0.15,0.444444,0.888889,-0.444445,0.0
2,0.1,0.15,0.666667,0.833333,-0.166666,0.380691
2,0.3,0.15,0.666667,0.444444,0.222223,0.050573
2,0.6,0.15,0.777778,0.666667,0.111111,0.075079
2,0.9,0.15,0.833333,0.611111,0.222222,0.074273
3,0.0,0.15,0.555556,0.722222,-0.166666,0.0
3,0.1,0.15,0.555556,0.5,0.055556,-0.004572
3,0.3,0.15,0.555556,12.5,-11.944444,0.041551
3,0.6,0.15,0.666667,0.555556,0.111111,0.037941
3,0.9,0.15,0.777778,0.722222,0.055556,0.345129
4,0.0,0.15,0.65,0.6,0.05,0.0
4,0.1,0.15,0.65,0.95,-0.3,0.03784
4,0.3,0.15,0.8,1.0,-0.2,0.062354
4,0.6,0.15,0.8,0.8,0.0,0.069896
4,0.9,0.15,0.8,0.75,0.05,0.05491
5,0.0,0.15,0.529412,1.0,-0.470588,0.0
5,0.1,0.15,0.352941,0.941176,-0.588235,0.019335
5,0.3,0.15,0.764706,1.058824,-0.294118,0.063321
5,0.6,0.15,0.823529,0.588235,0.235294,0.074833
5,0.9,0.15,0.941176,0.588235,0.352941,0.139403
6,0.0,0.15,0.277778,0.777778,-0.5,0.0
6,0.1,0.15,0.333333,0.722222,-0.388889,0.091859
6,0.3,0.15,0.277778,0.611111,-0.333333,0.12238
6,0.6,0.15,0.666667,0.611111,0.055556,0.098748
6,0.9,0.15,0.444444,0.388889,0.055555,-0.169348
7,0.0,0.15,0.409091,0.909091,-0.5,0.0
7,0.1,0.15,0.727273,0.863636,-0.136363,0.00627
7,0.3,0.15,0.363636,0.863636,-0.5,-0.007
7,0.6,0.15,0.545455,0.772727,-0.227272,0.403854
7,0.9,0.15,0.727273,0.363636,0.363637,0.09738
