pair_id,overlap_ratio,alpha,emotion_benefit,benefit_spk1,benefit_spk2,sep_distortion,mixed_distortion,arousal_shift,gain_component_db
4,0.1,0.0,0.042508,0.022993,0.062023,0.0,0.042508,0.0,0.0
4,0.1,0.15,0.03784,0.018988,0.056693,0.004667,0.042508,0.001278,0.01421
4,0.1,0.3,0.031575,0.014951,0.048198,0.010933,0.042508,0.003016,0.061081
4,0.3,0.0,0.077747,0.05413,0.101364,0.0,0.077747,0.0,0.0
4,0.3,0.15,0.062354,0.039247,0.085461,0.015393,0.077747,0.00275,0.05174
4,0.3,0.3,0.048231,0.028203,0.068258,0.029516,0.077747,0.00573,0.170888
4,0.6,0.0,0.093023,0.085836,0.10021,0.0,0.093023,0.0,0.0
4,0.6,0.15,0.069896,0.065261,0.074531,0.023127,0.093023,0.003634,0.08966
4,0.6,0.3,0.043377,0.039389,0.047365,0.049646,0.093023,0.017597,0.311828
4,0.9,0.0,0.082558,0.06116,0.103955,0.0,0.082558,0.0,0.0
4,0.9,0.15,0.05491,0.047499,0.06232,0.027648,0.082558,0.006346,0.143386
4,0.9,0.3,0.031323,0.033413,0.029233,0.051235,0.082558,0.005361,0.501328
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,0.0,0.126258,0.002859,0.249658,0.0,0.126258,0.0,0.0
5,0.1,0.15,0.019335,0.002215,0.036455,0.106924,0.126258,0.112997,0.030789
5,0.1,0.3,0.006746,0.002067,0.011425,0.119512,0.126258,0.143182,0.07598
5,0.3,0.0,0.203317,0.101989,0.304644,0.0,0.203317,0.0,0.0
5,0.3,0.15,0.063321,0.07856,0.048082,0.139995,0.203317,0.161632,0.168002
5,0.3,0.3,0.041718,0.062632,0.020804,0.161598,0.203317,0.185083,0.416436
5,0.6,0.0,0.206593,0.126659,0.286526,0.0,0.206593,0.0,0.0
5,0.6,0.15,0.074833,0.102453,0.047213,0.131759,0.206593,0.143595,0.156542
5,0.6,0.3,0.048882,0.078726,0.019038,0.157711,0.206593,0.169131,0.475828
5,0.9,0.0,0.213704,0.100588,0.326819,0.0,0.213704,0.0,0.0
5,0.9,0.15,0.139403,0.023872,0.254934,0.0743,0.213704,0.008632,0.279748
5,0.9,0.3,0.094086,0.009405,0.178767,0.119618,0.213704,0.01617,0.825136
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1,0.0,0.113496,0.140099,0.086893,0.0,0.113496,0.0,0.0
6,0.1,0.15,0.091859,0.11646,0.067257,0.021637,0.113496,0.00334,0.004887
6,0.1,0.3,0.072552,0.092606,0.052498,0.040944,0.113496,0.007765,0.021289
6,0.3,0.0,0.210152,0.294649,0.125654,0.0,0.210152,0.0,0.0
6,0.3,0.15,0.12238,0.219765,0.024995,0.087772,0.210152,0.032056,0.043878
6,0.3,0.3,0.084141,0.146178,0.022103,0.126011,0.210152,0.044347,0.154535
6,0.6,0.0,0.170796,0.119534,0.222057,0.0,0.170796,0.0,0.0
6,0.6,0.15,0.098748,0.088575,0.10892,0.072048,0.170796,0.028381,0.107667
6,0.6,0.3,0.073227,0.063551,0.082904,0.097568,0.170796,0.031584,0.330113
6,0.9,0.0,0.229004,0.2151,0.242907,0.0,0.229004,0.0,0.0
6,0.9,0.15,-0.169348,0.160534,-0.499231,0.398352,0.229004,0.260063,0.131785
6,0.9,0.3,-0.19332,0.112011,-0.498652,0.422324,0.229004,0.274463,0.454003
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1,0.0,0.042215,0.000175,0.084255,0.0,0.042215,0.0,0.0
7,0.1,0.15,0.00627,0.000121,0.012418,0.035946,0.042215,0.024887,0.072764
7,0.1,0.3,0.004614,-3.5e-05,0.009263,0.037601,0.042215,0.025575,0.157698
7,0.3,0.0,0.179786,0.204534,0.155039,0.0,0.179786,0.0,0.0
7,0.3,0.15,-0.007,0.001218,-0.015219,0.186787,0.179786,0.122124,0.179633
7,0.3,0.3,-0.007983,0.00112,-0.017085,0.187769,0.179786,0.120853,0.411875
7,0.6,0.0,0.508582,0.084218,0.932946,0.0,0.508582,0.0,0.0
7,0.6,0.15,0.403854,0.016773,0.790936,0.104727,0.508582,0.058903,0.114786
7,0.6,0.3,0.344328,-0.042651,0.731307,0.164253,0.508582,0.077839,0.352973
7,0.9,0.0,0.19699,0.219536,0.174444,0.0,0.19699,0.0,0.0
7,0.9,0.15,0.09738,0.129265,0.065495,0.09961,0.19699,0.075216,0.202808
7,0.9,0.3,0.039231,0.063967,0.014496,0.157759,0.19699,0.118456,0.611188
