sample_id,split,overlap_ratio,cer_mixed,cer_sep,cer_sep_trim,deg_mixed,deg_sep,deg_sep_trim,cer_fixed_mixed,cer_fixed_sep,cer_fixed_sep_trim,cer_halluc_2way,cer_halluc_3way,cer_overlap_router,cer_oracle,choice_halluc_2way,choice_halluc_3way,choice_overlap_router
SyntheticMidOverlap_test_02,test,0.3868,0.44,0.24,0.32,0.88,0.8036,0.8036,0.44,0.24,0.32,0.32,0.24,0.32,0.24,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticMidOverlap_test_03,test,0.3947,0.533333,0.333333,0.266667,0.9101,0.8824,0.8824,0.533333,0.333333,0.266667,0.266667,0.333333,0.266667,0.266667,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticMidOverlap_test_04,test,0.4026,0.736842,0.684211,0.684211,0.8571,0.7143,0.7143,0.736842,0.684211,0.684211,0.684211,0.684211,0.684211,0.684211,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticMidOverlap_test_05,test,0.4105,0.65,0.6,0.65,0.8333,0.7105,0.7692,0.65,0.6,0.65,0.65,0.6,0.65,0.6,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticMidOverlap_test_06,test,0.4184,0.461538,0.307692,0.307692,0.8571,0.85,0.8226,0.461538,0.307692,0.307692,0.307692,0.307692,0.307692,0.307692,fixed_sep_trim,fixed_sep_trim,fixed_sep_trim
SyntheticMidOverlap_test_07,test,0.4263,0.625,0.541667,0.541667,0.8451,0.8571,0.8254,0.625,0.541667,0.541667,0.541667,0.541667,0.541667,0.541667,fixed_sep_trim,fixed_sep_trim,fixed_sep_trim
SyntheticMidOverlap_test_08,test,0.4342,0.333333,0.333333,0.333333,0.8596,0.7576,0.7576,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticMidOverlap_test_09,test,0.4421,0.318182,0.545455,0.227273,0.8571,0.78,0.8125,0.318182,0.545455,0.227273,0.227273,0.545455,0.227273,0.227273,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticMidOverlap_test_10,test,0.45,0.35,0.25,0.5,0.8636,0.8136,0.8226,0.35,0.25,0.5,0.5,0.25,0.5,0.25,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_dev_01,dev,0.5,0.59375,0.28125,0.34375,0.8966,0.85,0.8226,0.59375,0.28125,0.34375,0.34375,0.34375,0.34375,0.28125,fixed_sep_trim,fixed_sep_trim,fixed_sep_trim
SyntheticHeavyOverlap_dev_02,dev,0.5105,0.615385,0.615385,0.615385,0.9036,0.8824,0.8824,0.615385,0.615385,0.615385,0.615385,0.615385,0.615385,0.615385,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_dev_03,dev,0.5211,0.85,0.65,0.65,0.6923,0.7576,0.7576,0.85,0.65,0.65,0.85,0.85,0.65,0.65,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticHeavyOverlap_dev_04,dev,0.5316,0.666667,0.555556,0.444444,0.8136,0.7317,0.7317,0.666667,0.555556,0.444444,0.444444,0.555556,0.444444,0.444444,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_dev_05,dev,0.5421,0.48,0.2,0.4,0.8625,0.8136,0.8226,0.48,0.2,0.4,0.4,0.2,0.4,0.2,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_dev_06,dev,0.5526,0.761905,0.571429,0.47619,0.7442,0.7692,0.7805,0.761905,0.571429,0.47619,0.761905,0.761905,0.47619,0.47619,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticHeavyOverlap_dev_07,dev,0.5632,0.666667,0.222222,0.277778,0.7857,0.75,0.75,0.666667,0.222222,0.277778,0.277778,0.222222,0.277778,0.222222,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_dev_08,dev,0.5737,0.5,0.3,0.25,0.8966,0.8125,0.8125,0.5,0.3,0.25,0.25,0.3,0.25,0.25,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_dev_09,dev,0.5842,0.714286,0.5,0.714286,0.6667,0.7857,0.9091,0.714286,0.5,0.714286,0.714286,0.714286,0.714286,0.5,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticHeavyOverlap_dev_10,dev,0.5947,0.548387,0.580645,0.580645,0.8642,0.8667,0.8667,0.548387,0.580645,0.580645,0.548387,0.548387,0.580645,0.548387,fixed_mixed,fixed_mixed,fixed_sep_trim
SyntheticHeavyOverlap_test_01,test,0.6053,0.542857,4.971429,0.4,0.9903,13.7027,0.8846,0.542857,4.971429,0.4,0.4,0.4,0.4,0.4,fixed_sep_trim,fixed_sep_trim,fixed_sep_trim
SyntheticHeavyOverlap_test_02,test,0.6158,0.52,0.24,0.32,0.8824,0.8036,0.8036,0.52,0.24,0.32,0.32,0.24,0.32,0.24,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_test_03,test,0.6263,0.566667,0.3,0.266667,0.8929,0.8824,0.8824,0.566667,0.3,0.266667,0.266667,0.3,0.266667,0.266667,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_test_04,test,0.6368,1.0,0.684211,0.684211,0.7885,0.7143,0.7143,1.0,0.684211,0.684211,0.684211,0.684211,0.684211,0.684211,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_test_05,test,0.6474,0.5,0.8,0.65,0.8644,0.766,0.7692,0.5,0.8,0.65,0.65,0.8,0.65,0.5,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_test_06,test,0.6579,0.576923,0.346154,0.307692,0.8451,0.8226,0.8226,0.576923,0.346154,0.307692,0.307692,0.346154,0.307692,0.307692,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_test_07,test,0.6684,0.833333,0.5,0.541667,1.0,0.8136,0.8254,0.833333,0.5,0.541667,0.541667,0.5,0.541667,0.5,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_test_08,test,0.6789,0.444444,0.277778,0.333333,0.7925,0.7576,0.7576,0.444444,0.277778,0.333333,0.333333,0.277778,0.333333,0.277778,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_test_09,test,0.6895,0.636364,0.590909,0.227273,0.9574,0.78,0.8125,0.636364,0.590909,0.227273,0.227273,0.590909,0.227273,0.227273,fixed_sep_trim,fixed_sep,fixed_sep_trim
SyntheticHeavyOverlap_test_10,test,0.7,0.4,0.5,0.5,0.8382,0.8226,0.8226,0.4,0.5,0.5,0.5,0.5,0.5,0.4,fixed_sep_trim,fixed_sep,fixed_sep_trim
