sample_id,split,candidate_id,overlap_ratio,dominance_type,intended_family,expected_winner,reference_type,mixed_cer,separated_cer,cleaned_cer,oracle_route,oracle_cer,route_gap,all_route_mean_cer,review_reasons,max_duplicate_density
controlled_route_sensitive_v2_0014,test,controlled_route_sensitive_v2_candidate_0014,0.85,speaker_A_dominant,separated_win_anchor,separated,silver_plus_unverified,1.0,0.166667,0.166667,separated,0.166667,0.0,0.444445,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0015,train,controlled_route_sensitive_v2_candidate_0015,0.55,speaker_B_dominant,cleaned_win_anchor,cleaned,silver_plus_unverified,0.529412,0.352941,0.352941,separated,0.352941,0.0,0.411765,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0016,test,controlled_route_sensitive_v2_candidate_0016,0.9,speaker_B_dominant,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0017,train,controlled_route_sensitive_v2_candidate_0017,0.0,speaker_B_dominant,mixed_win_anchor,mixed,silver_plus_unverified,0.538462,1.0,1.0,mixed,0.538462,0.461538,0.846154,length_inflation,0.0
controlled_route_sensitive_v2_0018,train,controlled_route_sensitive_v2_candidate_0018,0.55,speaker_B_dominant,separated_win_anchor,separated,silver_plus_unverified,1.0,0.388889,0.388889,separated,0.388889,0.0,0.592593,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0019,dev,controlled_route_sensitive_v2_candidate_0019,0.25,speaker_B_dominant,cleaned_win_anchor,cleaned,silver_plus_unverified,0.52381,0.52381,0.52381,mixed,0.52381,0.0,0.52381,low_route_gap|length_inflation,0.111111
controlled_route_sensitive_v2_0020,train,controlled_route_sensitive_v2_candidate_0020,0.3,speaker_B_dominant,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0021,train,controlled_route_sensitive_v2_candidate_0021,0.05,speaker_B_dominant,mixed_win_anchor,mixed,silver_plus_unverified,0.136364,1.0,1.0,mixed,0.136364,0.863636,0.712121,length_inflation,0.0
controlled_route_sensitive_v2_0022,test,controlled_route_sensitive_v2_candidate_0022,0.65,balanced,separated_win_anchor,separated,silver_plus_unverified,1.0,0.194444,0.194444,separated,0.194444,0.0,0.462963,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0023,train,controlled_route_sensitive_v2_candidate_0023,0.35,balanced,cleaned_win_anchor,cleaned,silver_plus_unverified,0.333333,0.2,0.2,separated,0.2,0.0,0.244444,low_route_gap,0.0
controlled_route_sensitive_v2_0024,train,controlled_route_sensitive_v2_candidate_0024,0.5,balanced,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0025,dev,controlled_route_sensitive_v2_candidate_0025,0.1,balanced,mixed_win_anchor,mixed,silver_plus_unverified,0.272727,1.0,1.0,mixed,0.272727,0.727273,0.757576,length_inflation,0.0
controlled_route_sensitive_v2_0026,train,controlled_route_sensitive_v2_candidate_0026,0.75,balanced,separated_win_anchor,separated,silver_plus_unverified,1.107143,0.178571,0.178571,separated,0.178571,0.0,0.488095,low_route_gap|duplicate_density_high,0.666667
controlled_route_sensitive_v2_0027,train,controlled_route_sensitive_v2_candidate_0027,0.45,balanced,cleaned_win_anchor,cleaned,silver_plus_unverified,0.428571,0.285714,0.285714,separated,0.285714,0.0,0.333333,low_route_gap,0.035714
controlled_route_sensitive_v2_0028,train,controlled_route_sensitive_v2_candidate_0028,0.7,balanced,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0029,test,controlled_route_sensitive_v2_candidate_0029,0.15,speaker_A_dominant,mixed_win_anchor,mixed,silver_plus_unverified,0.277778,0.888889,0.888889,mixed,0.277778,0.611111,0.685185,length_inflation,0.0
controlled_route_sensitive_v2_0030,train,controlled_route_sensitive_v2_candidate_0030,0.85,speaker_A_dominant,separated_win_anchor,separated,silver_plus_unverified,1.0,0.32,0.32,separated,0.32,0.0,0.546667,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0031,test,controlled_route_sensitive_v2_candidate_0031,0.55,speaker_A_dominant,cleaned_win_anchor,cleaned,silver_plus_unverified,1.0,0.285714,0.285714,separated,0.285714,0.0,0.523809,low_route_gap|duplicate_density_high,0.705882
controlled_route_sensitive_v2_0032,test,controlled_route_sensitive_v2_candidate_0032,0.9,speaker_A_dominant,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0034,test,controlled_route_sensitive_v2_candidate_0034,0.55,speaker_A_dominant,separated_win_anchor,separated,silver_plus_unverified,1.0,0.52,0.52,separated,0.52,0.0,0.68,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0035,train,controlled_route_sensitive_v2_candidate_0035,0.25,speaker_A_dominant,cleaned_win_anchor,cleaned,silver_plus_unverified,0.7,0.25,0.25,separated,0.25,0.0,0.4,low_route_gap,0.0
controlled_route_sensitive_v2_0036,dev,controlled_route_sensitive_v2_candidate_0036,0.3,speaker_B_dominant,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0037,test,controlled_route_sensitive_v2_candidate_0037,0.05,speaker_B_dominant,mixed_win_anchor,mixed,silver_plus_unverified,0.208333,1.0,1.0,mixed,0.208333,0.791667,0.736111,length_inflation,0.0
controlled_route_sensitive_v2_0038,train,controlled_route_sensitive_v2_candidate_0038,0.65,speaker_B_dominant,separated_win_anchor,separated,silver_plus_unverified,1.0,0.263158,0.263158,separated,0.263158,0.0,0.508772,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0039,dev,controlled_route_sensitive_v2_candidate_0039,0.35,speaker_B_dominant,cleaned_win_anchor,cleaned,silver_plus_unverified,0.7,0.75,0.75,mixed,0.7,0.05,0.733333,all_routes_high_cer|length_inflation,0.0
controlled_route_sensitive_v2_0040,train,controlled_route_sensitive_v2_candidate_0040,0.5,speaker_B_dominant,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0041,train,controlled_route_sensitive_v2_candidate_0041,0.1,speaker_B_dominant,mixed_win_anchor,mixed,silver_plus_unverified,0.137931,1.0,1.0,mixed,0.137931,0.862069,0.712644,length_inflation,0.0
controlled_route_sensitive_v2_0042,train,controlled_route_sensitive_v2_candidate_0042,0.75,speaker_B_dominant,separated_win_anchor,separated,silver_plus_unverified,0.818182,0.454545,0.454545,separated,0.454545,0.0,0.575757,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0043,dev,controlled_route_sensitive_v2_candidate_0043,0.45,balanced,cleaned_win_anchor,cleaned,silver_plus_unverified,0.714286,0.333333,0.333333,separated,0.333333,0.0,0.460317,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0044,train,controlled_route_sensitive_v2_candidate_0044,0.7,balanced,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0045,train,controlled_route_sensitive_v2_candidate_0045,0.15,balanced,mixed_win_anchor,mixed,silver_plus_unverified,0.15625,0.96875,0.96875,mixed,0.15625,0.8125,0.697917,duplicate_density_high,0.478261
controlled_route_sensitive_v2_0046,dev,controlled_route_sensitive_v2_candidate_0046,0.85,balanced,separated_win_anchor,separated,silver_plus_unverified,1.0,0.315789,0.315789,separated,0.315789,0.0,0.543859,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0047,train,controlled_route_sensitive_v2_candidate_0047,0.55,balanced,cleaned_win_anchor,cleaned,silver_plus_unverified,0.73913,0.304348,0.304348,separated,0.304348,0.0,0.449275,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0048,train,controlled_route_sensitive_v2_candidate_0048,0.9,balanced,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0049,train,controlled_route_sensitive_v2_candidate_0049,0.0,balanced,mixed_win_anchor,mixed,silver_plus_unverified,0.722222,1.0,1.0,mixed,0.722222,0.277778,0.907407,all_routes_high_cer|length_inflation,0.0
controlled_route_sensitive_v2_0050,train,controlled_route_sensitive_v2_candidate_0050,0.55,speaker_A_dominant,separated_win_anchor,separated,silver_plus_unverified,0.941176,0.705882,0.705882,separated,0.705882,0.0,0.784313,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0051,dev,controlled_route_sensitive_v2_candidate_0051,0.25,speaker_A_dominant,cleaned_win_anchor,cleaned,silver_plus_unverified,0.583333,0.083333,0.083333,separated,0.083333,0.0,0.25,low_route_gap,0.0
controlled_route_sensitive_v2_0052,dev,controlled_route_sensitive_v2_candidate_0052,0.3,speaker_A_dominant,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0053,train,controlled_route_sensitive_v2_candidate_0053,0.05,speaker_A_dominant,mixed_win_anchor,mixed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0054,train,controlled_route_sensitive_v2_candidate_0054,0.65,speaker_A_dominant,separated_win_anchor,separated,silver_plus_unverified,1.0,0.193548,0.193548,separated,0.193548,0.0,0.462365,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0055,train,controlled_route_sensitive_v2_candidate_0055,0.35,speaker_A_dominant,cleaned_win_anchor,cleaned,silver_plus_unverified,0.488372,0.186047,0.186047,separated,0.186047,0.0,0.286822,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0056,train,controlled_route_sensitive_v2_candidate_0056,0.5,speaker_A_dominant,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0057,train,controlled_route_sensitive_v2_candidate_0057,0.1,speaker_B_dominant,mixed_win_anchor,mixed,silver_plus_unverified,0.35,1.0,1.0,mixed,0.35,0.65,0.783333,length_inflation,0.0
controlled_route_sensitive_v2_0058,test,controlled_route_sensitive_v2_candidate_0058,0.75,speaker_B_dominant,separated_win_anchor,separated,silver_plus_unverified,1.0,0.333333,0.333333,separated,0.333333,0.0,0.555555,low_route_gap|length_inflation,0.0
controlled_route_sensitive_v2_0059,train,controlled_route_sensitive_v2_candidate_0059,0.45,speaker_B_dominant,cleaned_win_anchor,cleaned,silver_plus_unverified,0.5625,0.75,0.75,mixed,0.5625,0.1875,0.6875,length_inflation,0.0
controlled_route_sensitive_v2_0060,dev,controlled_route_sensitive_v2_candidate_0060,0.7,speaker_B_dominant,review_needed_anchor,review_needed,silver_plus_unverified,1.0,1.0,1.0,mixed,1.0,0.0,1.0,all_routes_high_cer|low_route_gap|length_inflation,0.0
