model_name,routing_average_cer,classification_accuracy,macro_f1,expected_compute_cost,fallback_rate,sample_count,label,overlap_ratio
hybrid_mlp_v2,0.350502,0.846154,0.305556,1.6,0.0,13,experimental/frontier,0.7
hybrid_mlp_v2,0.2036,1.0,0.333333,1.6,0.0,2,experimental/frontier,0.8
hybrid_mlp_v2,0.175748,0.8,0.296296,1.6,0.0,10,experimental/frontier,0.9
old_router_v2,0.332445,0.454545,0.208333,1.0,0.0,11,experimental/frontier,0.0
old_router_v2,0.1295,1.0,0.333333,1.0,0.0,4,experimental/frontier,0.1
old_router_v2,0.284375,0.454545,0.208333,1.0,0.0,11,experimental/frontier,0.2
old_router_v2,0.25,0.0,0.0,1.0,0.0,1,experimental/frontier,0.3
old_router_v2,0.312,0.0,0.0,1.0,0.0,2,experimental/frontier,0.4
old_router_v2,0.453527,0.2,0.111111,1.0,0.0,10,experimental/frontier,0.45
old_router_v2,0.401638,0.538462,0.305556,1.323077,0.0,13,experimental/frontier,0.7
old_router_v2,0.2036,1.0,0.333333,1.6,0.0,2,experimental/frontier,0.8
old_router_v2,0.442999,0.6,0.388889,1.24,0.0,10,experimental/frontier,0.9
oracle_best,0.120345,1.0,0.666667,1.327273,0.0,11,experimental/frontier,0.0
oracle_best,0.1295,1.0,0.333333,1.0,0.0,4,experimental/frontier,0.1
oracle_best,0.086879,1.0,0.666667,1.327273,0.0,11,experimental/frontier,0.2
oracle_best,0.208,1.0,0.333333,1.6,0.0,1,experimental/frontier,0.3
oracle_best,0.2,1.0,0.333333,1.6,0.0,2,experimental/frontier,0.4
oracle_best,0.095355,1.0,0.666667,1.48,0.0,10,experimental/frontier,0.45
oracle_best,0.141271,1.0,0.666667,1.507692,0.0,13,experimental/frontier,0.7
oracle_best,0.2036,1.0,0.333333,1.6,0.0,2,experimental/frontier,0.8
oracle_best,0.155748,1.0,0.666667,1.48,0.0,10,experimental/frontier,0.9
previous_audio_depth_mvp,0.488871,0.545455,0.235294,1.6,0.0,11,experimental/frontier,0.0
previous_audio_depth_mvp,0.2445,0.0,0.0,1.6,0.0,4,experimental/frontier,0.1
previous_audio_depth_mvp,0.522489,0.545455,0.235294,1.6,0.0,11,experimental/frontier,0.2
