model_name,mode,epoch,train_loss,val_loss,val_accuracy,status
cnn_depth_balanced,deployable,16,0.009159,0.562083,0.818182,trained
cnn_depth_balanced,deployable,17,0.007826,0.5346,0.818182,trained
cnn_depth_balanced,deployable,18,0.006537,0.482954,0.909091,trained
cnn_depth_balanced,deployable,19,0.005591,0.509836,0.818182,trained
cnn_depth_balanced,deployable,20,0.004981,0.52287,0.818182,trained
resnet_tiny_depth,deployable,1,0.645864,0.970595,0.454545,trained
resnet_tiny_depth,deployable,2,0.409235,0.874345,0.545455,trained
resnet_tiny_depth,deployable,3,0.317019,0.745948,0.727273,trained
resnet_tiny_depth,deployable,4,0.273317,0.645279,0.727273,trained
resnet_tiny_depth,deployable,5,0.216863,0.546219,0.727273,trained
resnet_tiny_depth,deployable,6,0.167693,0.493067,0.727273,trained
resnet_tiny_depth,deployable,7,0.128251,0.447656,0.727273,trained
resnet_tiny_depth,deployable,8,0.115798,0.456812,0.727273,trained
resnet_tiny_depth,deployable,9,0.080486,0.391684,0.818182,trained
resnet_tiny_depth,deployable,10,0.055876,0.374143,0.818182,trained
resnet_tiny_depth,deployable,11,0.041948,0.415582,0.818182,trained
resnet_tiny_depth,deployable,12,0.037906,0.302083,0.818182,trained
resnet_tiny_depth,deployable,13,0.025399,0.315716,0.818182,trained
resnet_tiny_depth,deployable,14,0.021751,0.361504,0.818182,trained
resnet_tiny_depth,deployable,15,0.015862,0.508343,0.818182,trained
resnet_tiny_depth,deployable,16,0.013485,0.367627,0.818182,trained
resnet_tiny_depth,deployable,17,0.009615,0.397857,0.818182,trained
resnet_tiny_depth,deployable,18,0.00746,0.471791,0.818182,trained
crnn_depth,deployable,1,1.011849,1.051292,0.727273,trained
crnn_depth,deployable,2,0.77323,0.916692,0.727273,trained
crnn_depth,deployable,3,0.649655,0.801951,0.727273,trained
crnn_depth,deployable,4,0.550069,0.712949,0.727273,trained
crnn_depth,deployable,5,0.517903,0.660434,0.727273,trained
crnn_depth,deployable,6,0.482534,0.635254,0.727273,trained
crnn_depth,deployable,7,0.441625,0.623319,0.727273,trained
crnn_depth,deployable,8,0.451249,0.676562,0.727273,trained
crnn_depth,deployable,9,0.364948,0.796178,0.727273,trained
crnn_depth,deployable,10,0.340569,0.87333,0.727273,trained
crnn_depth,deployable,11,0.293451,0.710847,0.727273,trained
crnn_depth,deployable,12,0.258912,0.447869,0.727273,trained
crnn_depth,deployable,13,0.197573,0.484733,0.818182,trained
crnn_depth,deployable,14,0.151016,0.573745,0.727273,trained
crnn_depth,deployable,15,0.112406,0.496836,0.818182,trained
crnn_depth,deployable,16,0.098219,0.36932,0.818182,trained
crnn_depth,deployable,17,0.050398,0.740512,0.727273,trained
crnn_depth,deployable,18,0.038626,0.449626,0.818182,trained
crnn_depth,deployable,19,0.030143,0.484254,0.818182,trained
crnn_depth,deployable,20,0.02119,0.200028,1.0,trained
crnn_depth,deployable,21,0.015238,0.275112,0.818182,trained
crnn_depth,deployable,22,0.016215,0.273337,0.909091,trained
crnn_depth,deployable,23,0.011229,0.343368,0.818182,trained
crnn_depth,deployable,24,0.015196,0.311429,0.818182,trained
crnn_depth,deployable,25,0.010877,0.433475,0.818182,trained
crnn_depth,deployable,26,0.010429,0.593974,0.818182,trained
patch_transformer_depth,deployable,1,0.748215,0.639085,0.727273,trained
patch_transformer_depth,deployable,2,0.548685,0.634599,0.727273,trained
patch_transformer_depth,deployable,3,0.520412,0.610705,0.727273,trained
patch_transformer_depth,deployable,4,0.533272,0.593916,0.727273,trained
patch_transformer_depth,deployable,5,0.522175,0.607727,0.727273,trained
patch_transformer_depth,deployable,6,0.513035,0.618931,0.727273,trained
patch_transformer_depth,deployable,7,0.504974,0.609621,0.727273,trained
patch_transformer_depth,deployable,8,0.512949,0.606977,0.727273,trained
patch_transformer_depth,deployable,9,0.497597,0.597029,0.727273,trained
patch_transformer_depth,deployable,10,0.508113,0.599289,0.727273,trained
hybrid_late_fusion,deployable,1,0.672051,0.475037,0.909091,trained
hybrid_late_fusion,deployable,2,0.482595,0.376228,0.818182,trained
hybrid_late_fusion,deployable,3,0.432811,0.368595,0.818182,trained
hybrid_late_fusion,deployable,4,0.423082,0.446694,0.909091,trained
hybrid_late_fusion,deployable,5,0.395263,0.340494,0.909091,trained
hybrid_late_fusion,deployable,6,0.371983,0.326609,0.909091,trained
hybrid_late_fusion,deployable,7,0.363567,0.339667,0.909091,trained
hybrid_late_fusion,deployable,8,0.382409,0.277569,0.909091,trained
