model_name,mode,status,reason,best_epoch,best_val_accuracy,best_val_loss,test_accuracy,test_loss,train_samples,val_samples,test_samples,checkpoint_path,skipped_rows,test_prediction_distribution,train_label_distribution,val_label_distribution,test_label_distribution
mlp_handcrafted,tabular,trained,early_stopped_at_epoch_13,13,0.909091,0.270612,0.8,0.545061,39,11,50,models/audio_depth_zoo/mlp_handcrafted.pt,0,"{""mixed"": 4, ""separated"": 46, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
cnn_logmel,logmel,trained,early_stopped_at_epoch_24,24,0.909091,0.193452,0.7,0.893403,39,11,50,models/audio_depth_zoo/cnn_logmel.pt,0,"{""mixed"": 3, ""separated"": 47, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
cnn_depth,deployable,trained,early_stopped_at_epoch_14,14,0.909091,0.198435,0.74,0.720512,39,11,50,models/audio_depth_zoo/cnn_depth.pt,0,"{""mixed"": 3, ""separated"": 47, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
cnn_depth_balanced,deployable,trained,early_stopped_at_epoch_14,14,0.909091,0.371834,0.76,1.131742,39,11,50,models/audio_depth_zoo/cnn_depth_balanced.pt,0,"{""mixed"": 6, ""separated"": 44, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
resnet_tiny_depth,deployable,trained,early_stopped_at_epoch_12,12,0.818182,0.302083,0.72,0.785094,39,11,50,models/audio_depth_zoo/resnet_tiny_depth.pt,0,"{""mixed"": 2, ""separated"": 48, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
crnn_depth,deployable,trained,early_stopped_at_epoch_20,20,1.0,0.200028,0.72,1.194323,39,11,50,models/audio_depth_zoo/crnn_depth.pt,0,"{""mixed"": 0, ""separated"": 50, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
patch_transformer_depth,deployable,trained,early_stopped_at_epoch_4,4,0.727273,0.593916,0.72,0.605997,39,11,50,models/audio_depth_zoo/patch_transformer_depth.pt,0,"{""mixed"": 0, ""separated"": 50, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
hybrid_late_fusion,deployable,trained,early_stopped_at_epoch_29,29,0.909091,0.112137,0.76,0.660306,39,11,50,models/audio_depth_zoo/hybrid_late_fusion.pt,0,"{""mixed"": 6, ""separated"": 44, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
analysis_upper_bound_cnn,analysis,trained,early_stopped_at_epoch_22,22,0.818182,0.363587,0.64,1.062761,39,11,50,models/audio_depth_zoo/analysis_upper_bound_cnn.pt,0,"{""mixed"": 8, ""separated"": 42, ""cleaned"": 0}","{""mixed"": 8, ""separated"": 31}","{""separated"": 8, ""mixed"": 3}","{""mixed"": 14, ""separated"": 36}"
