model_name,routing_average_cer,classification_accuracy,macro_f1,expected_compute_cost,fallback_rate,sample_count,label,overlap_tier
oracle_best,0.12378,1.0,0.666667,1.36,0.0,10,experimental/frontier,SyntheticNoOverlap
oracle_best,0.155748,1.0,0.666667,1.48,0.0,10,experimental/frontier,SyntheticOppositeOverlap
oracle_best,0.171514,1.0,0.666667,1.342857,0.0,14,experimental/frontier,clean_turn_taking
previous_audio_depth_mvp,0.397653,0.8,0.296296,1.6,0.0,10,experimental/frontier,SyntheticHeavyOverlap
previous_audio_depth_mvp,0.551938,0.6,0.25,1.6,0.0,10,experimental/frontier,SyntheticLightOverlap
previous_audio_depth_mvp,0.570784,0.8,0.296296,1.6,0.0,10,experimental/frontier,SyntheticMidOverlap
previous_audio_depth_mvp,0.487208,0.6,0.25,1.6,0.0,10,experimental/frontier,SyntheticNoOverlap
previous_audio_depth_mvp,0.175748,0.8,0.296296,1.6,0.0,10,experimental/frontier,SyntheticOppositeOverlap
previous_audio_depth_mvp,0.236193,0.571429,0.242424,1.6,0.0,14,experimental/frontier,clean_turn_taking
previous_model_zoo_best,0.397653,0.8,0.296296,1.6,0.0,10,experimental/frontier,SyntheticHeavyOverlap
previous_model_zoo_best,0.551938,0.6,0.25,1.6,0.0,10,experimental/frontier,SyntheticLightOverlap
previous_model_zoo_best,0.570784,0.8,0.296296,1.6,0.0,10,experimental/frontier,SyntheticMidOverlap
previous_model_zoo_best,0.487208,0.6,0.25,1.6,0.0,10,experimental/frontier,SyntheticNoOverlap
previous_model_zoo_best,0.175748,0.8,0.296296,1.6,0.0,10,experimental/frontier,SyntheticOppositeOverlap
previous_model_zoo_best,0.236193,0.571429,0.242424,1.6,0.0,14,experimental/frontier,clean_turn_taking
