dataset,track_id,hallucinated,cr,lang_id_entropy,cr_flag,lang_id_flag,cer,cr_phase_curve
gold,con_003_pro_015_r0.0_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.0_sep2,0,0.65625,0.0,0,0,0.428571,0.6562
gold,con_003_pro_015_r0.05_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.05_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.1_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.1_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.15_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.15_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.2_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.2_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.25_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.25_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.3_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.3_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.35_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.35_sep2,0,0.685714,0.0,0,0,0.428571,0.6857
gold,con_003_pro_015_r0.4_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.4_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.45_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.45_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.5_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.5_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.6_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.6_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.7_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.7_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.8_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.8_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_003_pro_015_r0.9_sep1,0,0.710526,0.0,0,0,0.909091,0.7105
gold,con_003_pro_015_r0.9_sep2,0,0.65625,0.0,0,0,0.285714,0.6562
gold,con_004_pro_007_r0.0_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.0_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
gold,con_004_pro_007_r0.05_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.05_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
gold,con_004_pro_007_r0.1_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.1_sep2,0,0.731707,0.0,0,0,0.444444,0.7317
gold,con_004_pro_007_r0.15_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.15_sep2,0,0.731707,0.0,0,0,0.444444,0.7317
gold,con_004_pro_007_r0.2_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.2_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
gold,con_004_pro_007_r0.25_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.25_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
gold,con_004_pro_007_r0.3_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.3_sep2,0,0.731707,0.0,0,0,0.444444,0.7317
gold,con_004_pro_007_r0.35_sep1,0,0.666667,0.0,0,0,0.777778,0.6667
gold,con_004_pro_007_r0.35_sep2,0,0.731707,0.0,0,0,0.222222,0.7317
