window_id,hallucinated,mode_s,lang_id_entropy,length_ratio,cr,bigram_jaccard,trigram_jaccard,lev_ratio,shared_char_ratio,lcs_ratio,token_overlap_jaccard,best_detector_flag
63,True,False,1.426068,67.0,0.922535,0.0,0.0,1.0,0.0,0.0,0.0,False
64,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
65,True,False,1.313896,154.0,1.974359,0.0,0.0,1.0,0.0,0.0,0.0,False
66,False,False,0.0,7.0,0.65625,0.0,0.0,1.0,0.0,0.0,0.0,False
67,False,False,0.0,2.0,0.428571,0.0,0.0,1.0,0.0,0.0,0.0,False
68,True,False,1.465538,1.73494,1.115702,0.020833,0.009804,0.977941,0.086331,0.058824,0.09375,False
69,True,False,0.967193,1.112069,1.408537,0.381944,0.37037,0.734375,0.464646,0.5625,0.5,False
70,True,False,1.171037,2.358974,0.926174,0.016393,0.0,0.955556,0.080808,0.055556,0.011494,False
71,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
72,True,False,1.113908,116.0,1.066298,0.0,0.0,1.0,0.0,0.0,0.0,False
73,True,False,1.411981,119.0,0.927632,0.0,0.0,1.0,0.0,0.0,0.0,False
74,True,False,1.384432,102.0,1.027972,0.0,0.0,1.0,0.0,0.0,0.0,False
75,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False
76,True,False,0.940959,74.0,1.021505,0.0,0.0,1.0,0.0,0.0,0.0,False
