path,klass,name_ceremony,content_ceremony,compute_import,writes_doc,arith_ops,str_ratio,loc,disagreement
src/demo_wave124_presentation_writeback.py,ceremony,True,True,False,True,0,0.4174,203,False
src/demo_wave125_presentation_writeback.py,ceremony,True,True,False,True,0,0.4176,203,False
src/demo_wave126_presentation_writeback.py,ceremony,True,True,False,True,0,0.4179,203,False
src/demo_wave127_presentation_writeback.py,ceremony,True,True,False,True,0,0.4179,203,False
src/demo_wave128_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave129_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave12_presentation_writeback.py,ceremony,True,True,False,True,0,0.4145,203,False
src/demo_wave130_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave131_presentation_writeback.py,ceremony,True,True,False,True,0,0.4172,203,False
src/demo_wave132_presentation_writeback.py,ceremony,True,True,False,True,0,0.4179,203,False
src/demo_wave133_presentation_writeback.py,ceremony,True,True,False,True,0,0.4171,203,False
src/demo_wave134_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave135_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave136_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave137_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave138_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave139_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave13_presentation_writeback.py,ceremony,True,True,False,True,0,0.4151,203,False
src/demo_wave140_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave141_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave142_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave143_presentation_writeback.py,ceremony,True,True,False,True,0,0.417,203,False
src/demo_wave144_presentation_writeback.py,ceremony,True,True,False,True,0,0.4173,203,False
src/demo_wave145_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave146_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave147_presentation_writeback.py,ceremony,True,True,False,True,0,0.4167,203,False
src/demo_wave148_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave149_presentation_writeback.py,ceremony,True,True,False,True,0,0.417,203,False
src/demo_wave14_presentation_writeback.py,ceremony,True,True,False,True,0,0.4148,203,False
src/demo_wave150_presentation_writeback.py,ceremony,True,True,False,True,0,0.4173,203,False
src/demo_wave151_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave152_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave153_presentation_writeback.py,ceremony,True,True,False,True,0,0.4167,203,False
src/demo_wave154_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave155_presentation_writeback.py,ceremony,True,True,False,True,0,0.417,203,False
src/demo_wave156_presentation_writeback.py,ceremony,True,True,False,True,0,0.4173,203,False
src/demo_wave157_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave158_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave159_presentation_writeback.py,ceremony,True,True,False,True,0,0.4167,203,False
src/demo_wave15_presentation_writeback.py,ceremony,True,True,False,True,0,0.4147,203,False
src/demo_wave160_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave161_presentation_writeback.py,ceremony,True,True,False,True,0,0.417,203,False
src/demo_wave162_presentation_writeback.py,ceremony,True,True,False,True,0,0.4173,203,False
src/demo_wave163_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave164_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave16_presentation_writeback.py,ceremony,True,True,False,True,0,0.415,203,False
src/demo_wave17_presentation_writeback.py,ceremony,True,True,False,True,0,0.4156,203,False
src/demo_wave18_presentation_writeback.py,ceremony,True,True,False,True,0,0.4156,203,False
src/demo_wave19_presentation_writeback.py,ceremony,True,True,False,True,0,0.4166,203,False
src/demo_wave20_presentation_writeback.py,ceremony,True,True,False,True,0,0.4147,203,False
src/demo_wave21_presentation_writeback.py,ceremony,True,True,False,True,0,0.4146,203,False
src/demo_wave22_presentation_writeback.py,ceremony,True,True,False,True,0,0.4143,203,False
src/demo_wave23_presentation_writeback.py,ceremony,True,True,False,True,0,0.4146,203,False
src/demo_wave24_presentation_writeback.py,ceremony,True,True,False,True,0,0.415,203,False
src/demo_wave25_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave26_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave27_presentation_writeback.py,ceremony,True,True,False,True,0,0.4146,203,False
src/demo_wave28_presentation_writeback.py,ceremony,True,True,False,True,0,0.4143,203,False
src/demo_wave29_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave30_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave31_presentation_writeback.py,ceremony,True,True,False,True,0,0.4146,203,False
src/demo_wave32_presentation_writeback.py,ceremony,True,True,False,True,0,0.4143,203,False
src/demo_wave33_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave34_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave35_presentation_writeback.py,ceremony,True,True,False,True,0,0.4146,203,False
src/demo_wave36_presentation_writeback.py,ceremony,True,True,False,True,0,0.4143,203,False
src/demo_wave37_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave38_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave39_presentation_writeback.py,ceremony,True,True,False,True,0,0.4146,203,False
src/demo_wave40_presentation_writeback.py,ceremony,True,True,False,True,0,0.4143,203,False
src/demo_wave41_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave42_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave43_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave44_presentation_writeback.py,ceremony,True,True,False,True,0,0.4154,203,False
src/demo_wave45_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave46_presentation_writeback.py,ceremony,True,True,False,True,0,0.4161,203,False
src/demo_wave47_presentation_writeback.py,ceremony,True,True,False,True,0,0.4153,203,False
src/demo_wave48_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave49_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave50_presentation_writeback.py,ceremony,True,True,False,True,0,0.4154,203,False
src/demo_wave51_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave52_presentation_writeback.py,ceremony,True,True,False,True,0,0.4161,203,False
src/demo_wave53_presentation_writeback.py,ceremony,True,True,False,True,0,0.4167,203,False
src/demo_wave54_presentation_writeback.py,ceremony,True,True,False,True,0,0.4175,203,False
src/demo_wave55_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave56_presentation_writeback.py,ceremony,True,True,False,True,0,0.4154,203,False
src/demo_wave57_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave58_presentation_writeback.py,ceremony,True,True,False,True,0,0.4161,203,False
src/demo_wave59_presentation_writeback.py,ceremony,True,True,False,True,0,0.4167,203,False
src/demo_wave5_presentation_writeback.py,ceremony,True,True,False,True,0,0.3969,216,False
src/demo_wave60_presentation_writeback.py,ceremony,True,True,False,True,0,0.4163,203,False
src/demo_wave61_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave62_presentation_writeback.py,ceremony,True,True,False,True,0,0.4154,203,False
src/demo_wave63_presentation_writeback.py,ceremony,True,True,False,True,0,0.4157,203,False
src/demo_wave64_presentation_writeback.py,ceremony,True,True,False,True,0,0.4161,203,False
src/demo_wave65_presentation_writeback.py,ceremony,True,True,False,True,0,0.4158,203,False
src/demo_wave66_presentation_writeback.py,ceremony,True,True,False,True,0,0.4167,203,False
src/demo_wave67_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave68_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave69_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave6_presentation_writeback.py,ceremony,True,True,False,True,0,0.4097,207,False
src/demo_wave70_presentation_writeback.py,ceremony,True,True,False,True,0,0.4172,203,False
src/demo_wave71_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave72_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave73_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave74_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave75_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave76_presentation_writeback.py,ceremony,True,True,False,True,0,0.4172,203,False
src/demo_wave77_presentation_writeback.py,ceremony,True,True,False,True,0,0.4177,203,False
src/demo_wave78_presentation_writeback.py,ceremony,True,True,False,True,0,0.4177,203,False
src/demo_wave79_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave7_presentation_writeback.py,ceremony,True,True,False,True,0,0.4104,205,False
src/demo_wave80_presentation_writeback.py,ceremony,True,True,False,True,0,0.4165,203,False
src/demo_wave81_presentation_writeback.py,ceremony,True,True,False,True,0,0.4168,203,False
src/demo_wave82_presentation_writeback.py,ceremony,True,True,False,True,0,0.4172,203,False
src/demo_wave83_presentation_writeback.py,ceremony,True,True,False,True,0,0.4181,203,False
src/demo_wave84_presentation_writeback.py,ceremony,True,True,False,True,0,0.4181,203,False
