resample,threshold,oob_cpwer,oob_compute,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
2739,0.01,0.816964,1.339473,29,23,0.376623,0.793103
2740,0.01,0.724729,1.361151,32,27,0.415584,0.84375
2741,0.01,0.694672,1.347775,32,26,0.415584,0.8125
2742,0.01,0.796135,1.279866,26,17,0.337662,0.653846
2743,0.01,0.765141,1.348766,27,22,0.350649,0.814815
2744,0.01,0.850553,1.345186,31,25,0.402597,0.806452
2745,0.01,0.86206,1.345186,31,25,0.402597,0.806452
2746,0.01,0.873486,1.325304,25,19,0.324675,0.76
2747,0.01,0.734569,1.412178,27,26,0.350649,0.962963
2748,0.01,0.738437,1.363178,33,28,0.428571,0.848485
2749,0.01,0.82877,1.378643,26,23,0.337662,0.884615
2750,0.01,0.809628,1.324713,29,22,0.376623,0.758621
2751,0.01,0.664805,1.37096,30,26,0.38961,0.866667
2752,0.01,0.744621,1.353591,23,19,0.298701,0.826087
2753,0.01,0.803419,1.331379,31,24,0.402597,0.774194
2754,0.01,0.802874,1.321023,28,21,0.363636,0.75
2755,0.01,0.779527,1.329255,26,20,0.337662,0.769231
2756,0.01,0.875463,1.36218,26,22,0.337662,0.846154
2757,0.01,0.738954,1.397457,28,26,0.363636,0.928571
2758,0.01,0.794278,1.413763,30,29,0.38961,0.966667
2759,0.01,0.754526,1.364619,27,23,0.350649,0.851852
2760,0.01,0.78748,1.299622,30,21,0.38961,0.7
2761,0.01,0.755336,1.313889,30,22,0.38961,0.733333
2762,0.01,0.793071,1.285354,27,18,0.350649,0.666667
2763,0.01,0.747779,1.356693,24,20,0.311688,0.833333
2764,0.01,0.720178,1.364619,27,23,0.350649,0.851852
2765,0.01,0.858985,1.332913,27,21,0.350649,0.777778
2766,0.01,0.698488,1.36218,26,22,0.337662,0.846154
2767,0.01,0.7314,1.366884,28,24,0.363636,0.857143
2768,0.01,0.810708,1.325304,25,19,0.324675,0.76
2769,0.01,0.686543,1.354233,29,24,0.376623,0.827586
2770,0.01,0.764175,1.372801,31,27,0.402597,0.870968
2771,0.01,0.724254,1.37096,30,26,0.38961,0.866667
2772,0.01,0.81302,1.33631,28,22,0.363636,0.785714
2773,0.01,0.739795,1.342425,30,24,0.38961,0.8
2774,0.01,0.743166,1.339473,29,23,0.376623,0.793103
2775,0.01,0.820637,1.345186,31,25,0.402597,0.806452
2776,0.01,0.807834,1.366884,28,24,0.363636,0.857143
2777,0.01,0.764243,1.395106,26,24,0.337662,0.923077
2778,0.01,0.757882,1.354233,29,24,0.376623,0.827586
2779,0.01,0.756878,1.366884,28,24,0.363636,0.857143
2780,0.01,0.80656,1.366884,28,24,0.363636,0.857143
2781,0.01,0.766509,1.332913,27,21,0.350649,0.777778
2782,0.01,0.692563,1.398512,29,27,0.376623,0.931034
2783,0.01,0.809029,1.41091,25,24,0.324675,0.96
2784,0.01,0.793215,1.37096,30,26,0.38961,0.866667
2785,0.01,0.819381,1.354233,29,24,0.376623,0.827586
2786,0.01,0.799443,1.364619,27,23,0.350649,0.851852
2787,0.01,0.803337,1.358994,31,26,0.402597,0.83871
2788,0.01,0.745133,1.36218,26,22,0.337662,0.846154
2789,0.01,0.738184,1.334399,32,25,0.415584,0.78125
2790,0.01,0.790288,1.332913,27,21,0.350649,0.777778
2791,0.01,0.7314,1.366884,28,24,0.363636,0.857143
2792,0.01,0.716372,1.345717,26,21,0.337662,0.807692
2793,0.01,0.82184,1.354233,29,24,0.376623,0.827586
2794,0.01,0.783755,1.339473,29,23,0.376623,0.793103
2795,0.01,0.797362,1.329255,26,20,0.337662,0.769231
2796,0.01,0.745085,1.378643,26,23,0.337662,0.884615
2797,0.01,0.744184,1.351597,28,23,0.363636,0.821429
2798,0.01,0.764679,1.37096,30,26,0.38961,0.866667
2799,0.01,0.818107,1.368992,29,25,0.376623,0.862069
2800,0.01,0.712004,1.392362,24,22,0.311688,0.916667
2801,0.01,0.752916,1.328157,30,23,0.38961,0.766667
2802,0.01,0.802839,1.332913,36,28,0.467532,0.777778
2803,0.01,0.693756,1.364619,27,23,0.350649,0.851852
2804,0.01,0.74783,1.359546,25,21,0.324675,0.84
2805,0.01,0.823114,1.339473,29,23,0.376623,0.793103
2806,0.01,0.806977,1.352496,34,28,0.441558,0.823529
2807,0.01,0.836526,1.332913,27,21,0.350649,0.777778
2808,0.01,0.76576,1.345717,26,21,0.337662,0.807692
2809,0.01,0.813144,1.383752,29,26,0.376623,0.896552
2810,0.01,0.74282,1.382171,28,25,0.363636,0.892857
2811,0.01,0.736496,1.366884,28,24,0.363636,0.857143
2812,0.01,0.850675,1.303764,31,22,0.402597,0.709677
2813,0.01,0.734469,1.368992,29,25,0.376623,0.862069
2814,0.01,0.75433,1.366884,28,24,0.363636,0.857143
2815,0.01,0.857504,1.342425,30,24,0.38961,0.8
2816,0.01,0.844823,1.351597,28,23,0.363636,0.821429
2817,0.01,0.738513,1.337237,33,26,0.428571,0.787879
2818,0.01,0.727355,1.372801,31,27,0.402597,0.870968
2819,0.01,0.725433,1.374527,24,21,0.311688,0.875
2820,0.01,0.847928,1.395106,26,24,0.337662,0.923077
2821,0.01,0.796957,1.311295,33,24,0.428571,0.727273
2822,0.01,0.821918,1.313889,30,22,0.38961,0.733333
2823,0.01,0.74276,1.363178,33,28,0.428571,0.848485
2824,0.01,0.802811,1.342425,30,24,0.38961,0.8
2825,0.01,0.753926,1.353591,23,19,0.298701,0.826087
2826,0.01,0.834871,1.356693,30,25,0.38961,0.833333
2827,0.01,0.70262,1.324713,29,22,0.376623,0.758621
2828,0.01,0.700826,1.366884,28,24,0.363636,0.857143
2829,0.01,0.804577,1.368992,29,25,0.376623,0.862069
2830,0.01,0.74778,1.395106,26,24,0.337662,0.923077
2831,0.01,0.805894,1.339473,29,23,0.376623,0.793103
2832,0.01,0.721908,1.329255,26,20,0.337662,0.769231
2833,0.01,0.820595,1.359546,25,21,0.324675,0.84
2834,0.01,0.815889,1.342425,30,24,0.38961,0.8
2835,0.01,0.726547,1.363178,33,28,0.428571,0.848485
2836,0.01,0.734402,1.356693,24,20,0.311688,0.833333
2837,0.01,0.760342,1.354233,29,24,0.376623,0.827586
2838,0.01,0.765893,1.387903,32,29,0.415584,0.90625
2839,0.01,0.797405,1.334981,23,18,0.298701,0.782609
2840,0.01,0.810427,1.351597,28,23,0.363636,0.821429
2841,0.01,0.718571,1.397457,28,26,0.363636,0.928571
2842,0.01,0.765326,1.372801,31,27,0.402597,0.870968
2843,0.01,0.827447,1.36218,26,22,0.337662,0.846154
2844,0.01,0.701589,1.396325,27,25,0.350649,0.925926
2845,0.01,0.799701,1.354233,29,24,0.376623,0.827586
2846,0.01,0.802874,1.321023,28,21,0.363636,0.75
2847,0.01,0.867843,1.321023,28,21,0.363636,0.75
2848,0.01,0.766278,1.372201,23,20,0.298701,0.869565
2849,0.01,0.764436,1.329255,26,20,0.337662,0.769231
2850,0.01,0.919509,1.312792,26,19,0.337662,0.730769
2851,0.01,0.818107,1.368992,29,25,0.376623,0.862069
2852,0.01,0.77557,1.396325,27,25,0.350649,0.925926
2853,0.01,0.793165,1.330195,35,27,0.454545,0.771429
2854,0.01,0.737375,1.356693,30,25,0.38961,0.833333
2855,0.01,0.791091,1.354233,29,24,0.376623,0.827586
2856,0.01,0.775101,1.354233,29,24,0.376623,0.827586
2857,0.01,0.775464,1.342425,30,24,0.38961,0.8
2858,0.01,0.819436,1.374527,32,28,0.415584,0.875
2859,0.01,0.737375,1.356693,24,20,0.311688,0.833333
2860,0.01,0.775885,1.303764,31,22,0.402597,0.709677
2861,0.01,0.81256,1.396325,27,25,0.350649,0.925926
2862,0.01,0.737741,1.393789,25,23,0.324675,0.92
2863,0.01,0.820515,1.386609,31,28,0.402597,0.903226
2864,0.01,0.789393,1.356693,24,20,0.311688,0.833333
2865,0.01,0.810814,1.339473,29,23,0.376623,0.793103
2866,0.01,0.737741,1.393789,25,23,0.324675,0.92
2867,0.01,0.807399,1.399496,30,28,0.38961,0.933333
2868,0.01,0.741726,1.321023,28,21,0.363636,0.75
2869,0.01,0.742314,1.372801,31,27,0.402597,0.870968
2870,0.01,0.727562,1.353591,23,19,0.298701,0.826087
2871,0.01,0.765407,1.345186,31,25,0.402597,0.806452
2872,0.01,0.759143,1.393789,25,23,0.324675,0.92
2873,0.01,0.719935,1.366884,28,24,0.363636,0.857143
2874,0.01,0.749223,1.37096,30,26,0.38961,0.866667
2875,0.01,0.640772,1.395106,26,24,0.337662,0.923077
2876,0.01,0.869853,1.339473,29,23,0.376623,0.793103
2877,0.01,0.775964,1.374527,32,28,0.415584,0.875
2878,0.01,0.735402,1.305736,28,20,0.363636,0.714286
2879,0.01,0.798097,1.328157,30,23,0.38961,0.766667
2880,0.01,0.761547,1.378643,26,23,0.337662,0.884615
2881,0.01,0.706378,1.385228,30,27,0.38961,0.9
2882,0.01,0.694227,1.411568,26,25,0.337662,0.961538
2883,0.01,0.803831,1.374527,32,28,0.415584,0.875
2884,0.01,0.807416,1.348766,27,22,0.350649,0.814815
2885,0.01,0.744926,1.376667,25,22,0.324675,0.88
2886,0.01,0.774358,1.347052,37,30,0.480519,0.810811
2887,0.01,0.786554,1.291061,25,17,0.324675,0.68
2888,0.01,0.728506,1.372801,31,27,0.402597,0.870968
2889,0.01,0.769967,1.392362,24,22,0.311688,0.916667
2890,0.01,0.671437,1.397457,28,26,0.363636,0.928571
2891,0.01,0.750702,1.31706,27,20,0.350649,0.740741
2892,0.01,0.823071,1.354233,29,24,0.376623,0.827586
2893,0.01,0.779763,1.382171,28,25,0.363636,0.892857
2894,0.01,0.784926,1.359546,25,21,0.324675,0.84
2895,0.01,0.749112,1.408575,22,21,0.285714,0.954545
2896,0.01,0.889409,1.351597,28,23,0.363636,0.821429
2897,0.01,0.717,1.372801,31,27,0.402597,0.870968
2898,0.01,0.722438,1.382171,28,25,0.363636,0.892857
2899,0.01,0.735426,1.316371,23,17,0.298701,0.73913
2900,0.01,0.755422,1.372201,23,20,0.298701,0.869565
2901,0.01,0.786268,1.33631,28,22,0.363636,0.785714
2902,0.01,0.725902,1.354233,29,24,0.376623,0.827586
2903,0.01,0.696866,1.385228,30,27,0.38961,0.9
2904,0.01,0.783817,1.345186,31,25,0.402597,0.806452
2905,0.01,0.859097,1.329255,26,20,0.337662,0.769231
2906,0.01,0.8449,1.342425,25,20,0.324675,0.8
2907,0.01,0.783499,1.359546,25,21,0.324675,0.84
2908,0.01,0.799536,1.332913,27,21,0.350649,0.777778
2909,0.01,0.748067,1.372801,31,27,0.402597,0.870968
2910,0.01,0.771897,1.342425,30,24,0.38961,0.8
2911,0.01,0.800452,1.353591,23,19,0.298701,0.826087
2912,0.01,0.753049,1.324713,29,22,0.376623,0.758621
2913,0.01,0.760224,1.36218,26,22,0.337662,0.846154
2914,0.01,0.690209,1.378643,26,23,0.337662,0.884615
2915,0.01,0.890397,1.330751,22,17,0.285714,0.772727
2916,0.01,0.776344,1.337237,33,26,0.428571,0.787879
2917,0.01,0.803406,1.364619,27,23,0.350649,0.851852
2918,0.01,0.755378,1.368992,29,25,0.376623,0.862069
2919,0.01,0.789948,1.324713,29,22,0.376623,0.758621
2920,0.01,0.866207,1.324713,29,22,0.376623,0.758621
2921,0.01,0.875541,1.374527,24,21,0.311688,0.875
2922,0.01,0.705739,1.332913,27,21,0.350649,0.777778
2923,0.01,0.676439,1.334981,23,18,0.298701,0.782609
2924,0.01,0.813411,1.376667,25,22,0.324675,0.88
2925,0.01,0.807652,1.350207,22,18,0.285714,0.818182
2926,0.01,0.793302,1.365085,34,29,0.441558,0.852941
2927,0.01,0.727507,1.372201,23,20,0.298701,0.869565
2928,0.01,0.713479,1.396325,27,25,0.350649,0.925926
2929,0.01,0.703499,1.393789,25,23,0.324675,0.92
2930,0.01,0.791091,1.354233,29,24,0.376623,0.827586
2931,0.01,0.730342,1.347775,32,26,0.415584,0.8125
2932,0.01,0.711063,1.351597,28,23,0.363636,0.821429
2933,0.01,0.751918,1.321023,28,21,0.363636,0.75
2934,0.01,0.845821,1.31706,27,20,0.350649,0.740741
2935,0.01,0.785063,1.312792,26,19,0.337662,0.730769
2936,0.01,0.735729,1.370189,37,32,0.480519,0.864865
2937,0.01,0.822123,1.325304,25,19,0.324675,0.76
2938,0.01,0.787401,1.354233,29,24,0.376623,0.827586
2939,0.01,0.672374,1.378643,26,23,0.337662,0.884615
2940,0.01,0.781082,1.366884,28,24,0.363636,0.857143
2941,0.01,0.677874,1.374527,32,28,0.415584,0.875
2942,0.01,0.745372,1.332913,27,21,0.350649,0.777778
2943,0.01,0.699508,1.382171,28,25,0.363636,0.892857
2944,0.01,0.737333,1.37096,30,26,0.38961,0.866667
2945,0.01,0.813975,1.364619,27,23,0.350649,0.851852
2946,0.01,0.746505,1.36218,26,22,0.337662,0.846154
2947,0.01,0.751783,1.366884,28,24,0.363636,0.857143
2948,0.01,0.72896,1.330195,35,27,0.454545,0.771429
2949,0.01,0.812404,1.345717,26,21,0.337662,0.807692
2950,0.01,0.813187,1.368992,29,25,0.376623,0.862069
2951,0.01,0.786165,1.342425,30,24,0.38961,0.8
2952,0.01,0.748107,1.358994,31,26,0.402597,0.83871
2953,0.01,0.781172,1.33631,28,22,0.363636,0.785714
2954,0.01,0.730081,1.382171,28,25,0.363636,0.892857
2955,0.01,0.82846,1.380472,27,24,0.350649,0.888889
2956,0.01,0.76584,1.351597,28,23,0.363636,0.821429
2957,0.01,0.837767,1.342425,25,20,0.324675,0.8
2958,0.01,0.722875,1.331379,31,24,0.402597,0.774194
2959,0.01,0.774612,1.345186,31,25,0.402597,0.806452
2960,0.01,0.716063,1.354233,29,24,0.376623,0.827586
2961,0.01,0.820558,1.372201,23,20,0.298701,0.869565
2962,0.01,0.79226,1.392362,24,22,0.311688,0.916667
2963,0.01,0.79666,1.412178,27,26,0.350649,0.962963
2964,0.01,0.825362,1.303764,31,22,0.402597,0.709677
2965,0.01,0.748137,1.361151,32,27,0.415584,0.84375
2966,0.01,0.86133,1.309953,29,21,0.376623,0.724138
2967,0.01,0.763616,1.328157,30,23,0.38961,0.766667
2968,0.01,0.798139,1.313889,30,22,0.38961,0.733333
2969,0.01,0.805376,1.33631,28,22,0.363636,0.785714
2970,0.01,0.70642,1.37096,30,26,0.38961,0.866667
2971,0.01,0.788011,1.321023,24,18,0.311688,0.75
2972,0.01,0.728622,1.378643,26,23,0.337662,0.884615
2973,0.01,0.911155,1.321023,28,21,0.363636,0.75
2974,0.01,0.757546,1.37096,30,26,0.38961,0.866667
2975,0.01,0.756315,1.385228,30,27,0.38961,0.9
2976,0.01,0.716168,1.380472,27,24,0.350649,0.888889
2977,0.01,0.755157,1.374527,24,21,0.311688,0.875
2978,0.01,0.770708,1.342425,25,20,0.324675,0.8
2979,0.01,0.766369,1.380472,27,24,0.350649,0.888889
2980,0.01,0.797198,1.368992,29,25,0.376623,0.862069
2981,0.01,0.823157,1.324713,29,22,0.376623,0.758621
2982,0.01,0.834541,1.382171,28,25,0.363636,0.892857
2983,0.01,0.80436,1.321023,24,18,0.311688,0.75
2984,0.01,0.817683,1.338858,24,19,0.311688,0.791667
2985,0.01,0.916826,1.385228,20,18,0.25974,0.9
2986,0.01,0.755294,1.328157,30,23,0.38961,0.766667
2987,0.01,0.783736,1.372801,31,27,0.402597,0.870968
2988,0.01,0.809709,1.329255,26,20,0.337662,0.769231
2989,0.01,0.765459,1.363178,33,28,0.428571,0.848485
2990,0.01,0.708009,1.361151,32,27,0.415584,0.84375
2991,0.01,0.739389,1.368992,29,25,0.376623,0.862069
2992,0.01,0.877758,1.328157,30,23,0.38961,0.766667
2993,0.01,0.806277,1.376667,25,22,0.324675,0.88
2994,0.01,0.802187,1.358994,31,26,0.402597,0.83871
2995,0.01,0.826891,1.309953,29,21,0.376623,0.724138
2996,0.01,0.734955,1.37096,30,26,0.38961,0.866667
2997,0.01,0.794252,1.332913,27,21,0.350649,0.777778
2998,0.01,0.790288,1.332913,27,21,0.350649,0.777778
2999,0.01,0.836953,1.395106,26,24,0.337662,0.923077
3000,0.01,0.72867,1.36218,26,22,0.337662,0.846154
3001,0.01,0.832493,1.356693,30,25,0.38961,0.833333
3002,0.01,0.825771,1.396325,27,25,0.350649,0.925926
3003,0.01,0.797241,1.354233,29,24,0.376623,0.827586
3004,0.01,0.807834,1.366884,28,24,0.363636,0.857143
3005,0.01,0.786241,1.378643,26,23,0.337662,0.884615
3006,0.01,0.774572,1.358994,31,26,0.402597,0.83871
3007,0.01,0.692194,1.356693,30,25,0.38961,0.833333
3008,0.01,0.81298,1.376148,33,29,0.428571,0.878788
3009,0.01,0.772021,1.337237,33,26,0.428571,0.787879
3010,0.01,0.815196,1.329255,26,20,0.337662,0.769231
3011,0.01,0.716819,1.363178,33,28,0.428571,0.848485
3012,0.01,0.746812,1.354233,29,24,0.376623,0.827586
3013,0.01,0.778835,1.339473,29,23,0.376623,0.793103
3014,0.01,0.799489,1.348766,27,22,0.350649,0.814815
3015,0.01,0.829781,1.380472,27,24,0.350649,0.888889
3016,0.01,0.83648,1.348766,27,22,0.350649,0.814815
3017,0.01,0.826943,1.366884,28,24,0.363636,0.857143
3018,0.01,0.763727,1.380472,27,24,0.350649,0.888889
3019,0.01,0.753364,1.36218,26,22,0.337662,0.846154
3020,0.01,0.771897,1.342425,30,24,0.38961,0.8
3021,0.01,0.765234,1.31706,27,20,0.350649,0.740741
3022,0.01,0.656441,1.385228,20,18,0.25974,0.9
3023,0.01,0.740295,1.374527,24,21,0.311688,0.875
3024,0.01,0.704506,1.317571,31,23,0.402597,0.741935
3025,0.01,0.797971,1.37096,30,26,0.38961,0.866667
3026,0.01,0.774848,1.321023,28,21,0.363636,0.75
3027,0.01,0.758242,1.33631,28,22,0.363636,0.785714
3028,0.01,0.797733,1.33631,28,22,0.363636,0.785714
3029,0.01,0.756202,1.345186,31,25,0.402597,0.806452
3030,0.01,0.77115,1.378643,26,23,0.337662,0.884615
3031,0.01,0.749249,1.36218,26,22,0.337662,0.846154
3032,0.01,0.830701,1.334399,32,25,0.415584,0.78125
3033,0.01,0.830408,1.330751,22,17,0.285714,0.772727
3034,0.01,0.790802,1.317571,31,23,0.402597,0.741935
3035,0.01,0.748067,1.372801,31,27,0.402597,0.870968
3036,0.01,0.832546,1.338858,24,19,0.311688,0.791667
3037,0.01,0.767159,1.33631,28,22,0.363636,0.785714
3038,0.01,0.786171,1.354233,29,24,0.376623,0.827586
3039,0.01,0.675214,1.380472,27,24,0.350649,0.888889
3040,0.01,0.775987,1.366884,28,24,0.363636,0.857143
3041,0.01,0.750365,1.350207,33,27,0.428571,0.818182
3042,0.01,0.772522,1.378643,26,23,0.337662,0.884615
3043,0.01,0.683187,1.364619,27,23,0.350649,0.851852
3044,0.01,0.743499,1.376667,25,22,0.324675,0.88
3045,0.01,0.846385,1.307647,32,23,0.415584,0.71875
3046,0.01,0.803009,1.275163,28,18,0.363636,0.642857
3047,0.01,0.654477,1.383752,29,26,0.376623,0.896552
3048,0.01,0.815889,1.342425,30,24,0.38961,0.8
3049,0.01,0.760127,1.395106,26,24,0.337662,0.923077
3050,0.01,0.787565,1.395106,26,24,0.337662,0.923077
3051,0.01,0.799052,1.321023,28,21,0.363636,0.75
3052,0.01,0.784934,1.356693,24,20,0.311688,0.833333
3053,0.01,0.848219,1.296329,26,18,0.337662,0.692308
3054,0.01,0.813511,1.342425,25,20,0.324675,0.8
3055,0.01,0.751992,1.36218,26,22,0.337662,0.846154
3056,0.01,0.779479,1.345717,26,21,0.337662,0.807692
3057,0.01,0.73216,1.372201,23,20,0.298701,0.869565
3058,0.01,0.766462,1.348766,27,22,0.350649,0.814815
3059,0.01,0.767615,1.354654,35,29,0.454545,0.828571
3060,0.01,0.856357,1.328157,30,23,0.38961,0.766667
3061,0.01,0.827185,1.364619,27,23,0.350649,0.851852
3062,0.01,0.781121,1.398512,29,27,0.376623,0.931034
3063,0.01,0.791516,1.364619,27,23,0.350649,0.851852
3064,0.01,0.635284,1.395106,26,24,0.337662,0.923077
3065,0.01,0.846141,1.33631,28,22,0.363636,0.785714
3066,0.01,0.856483,1.285354,27,18,0.350649,0.666667
3067,0.01,0.799193,1.359546,25,21,0.324675,0.84
3068,0.01,0.803313,1.396325,27,25,0.350649,0.925926
3069,0.01,0.751407,1.363178,33,28,0.428571,0.848485
3070,0.01,0.864678,1.352496,34,28,0.441558,0.823529
3071,0.01,0.825088,1.347775,32,26,0.415584,0.8125
3072,0.01,0.667194,1.412178,27,26,0.350649,0.962963
3073,0.01,0.786036,1.361151,32,27,0.415584,0.84375
3074,0.01,0.808267,1.368992,29,25,0.376623,0.862069
3075,0.01,0.759966,1.356693,30,25,0.38961,0.833333
3076,0.01,0.789905,1.339473,29,23,0.376623,0.793103
3077,0.01,0.794009,1.303189,24,17,0.311688,0.708333
3078,0.01,0.765566,1.411568,26,25,0.337662,0.961538
3079,0.01,0.823222,1.364619,27,23,0.350649,0.851852
3080,0.01,0.727045,1.383752,29,26,0.376623,0.896552
3081,0.01,0.734038,1.33631,28,22,0.363636,0.785714
3082,0.01,0.761174,1.350207,33,27,0.428571,0.818182
3083,0.01,0.820645,1.342425,30,24,0.38961,0.8
3084,0.01,0.740599,1.363178,33,28,0.428571,0.848485
3085,0.01,0.840421,1.309953,29,21,0.376623,0.724138
3086,0.01,0.831959,1.376667,25,22,0.324675,0.88
3087,0.01,0.791953,1.317571,31,23,0.402597,0.741935
3088,0.01,0.780325,1.358994,31,26,0.402597,0.83871
3089,0.01,0.7862,1.317571,31,23,0.402597,0.741935
3090,0.01,0.751643,1.356693,30,25,0.38961,0.833333
3091,0.01,0.783448,1.356693,24,20,0.311688,0.833333
3092,0.01,0.837946,1.260541,23,14,0.298701,0.608696
3093,0.01,0.785009,1.331379,31,24,0.402597,0.774194
3094,0.01,0.760224,1.36218,26,22,0.337662,0.846154
3095,0.01,0.7559,1.374527,32,28,0.415584,0.875
3096,0.01,0.751519,1.372801,31,27,0.402597,0.870968
3097,0.01,0.735491,1.345186,31,25,0.402597,0.806452
3098,0.01,0.73747,1.324266,33,25,0.428571,0.757576
3099,0.01,0.798122,1.364619,27,23,0.350649,0.851852
3100,0.01,0.751599,1.321023,32,24,0.415584,0.75
3101,0.01,0.782598,1.342425,30,24,0.38961,0.8
3102,0.01,0.754366,1.354654,35,29,0.454545,0.828571
3103,0.01,0.745947,1.347775,32,26,0.415584,0.8125
3104,0.01,0.819414,1.356693,30,25,0.38961,0.833333
3105,0.01,0.820708,1.321023,24,18,0.311688,0.75
3106,0.01,0.850008,1.321023,28,21,0.363636,0.75
3107,0.01,0.713565,1.366884,28,24,0.363636,0.857143
3108,0.01,0.751402,1.387903,32,29,0.415584,0.90625
3109,0.01,0.801224,1.330751,22,17,0.285714,0.772727
3110,0.01,0.814021,1.348766,27,22,0.350649,0.814815
3111,0.01,0.714739,1.358994,31,26,0.402597,0.83871
3112,0.01,0.750791,1.389119,22,20,0.285714,0.909091
3113,0.01,0.774191,1.37096,30,26,0.38961,0.866667
3114,0.01,0.792596,1.324266,33,25,0.428571,0.757576
3115,0.01,0.818141,1.385228,30,27,0.38961,0.9
3116,0.01,0.778989,1.356693,30,25,0.38961,0.833333
3117,0.01,0.730283,1.342425,30,24,0.38961,0.8
3118,0.01,0.737375,1.356693,30,25,0.38961,0.833333
3119,0.01,0.796289,1.376667,25,22,0.324675,0.88
3120,0.01,0.803546,1.31706,27,20,0.350649,0.740741
3121,0.01,0.773097,1.338858,24,19,0.311688,0.791667
3122,0.01,0.862343,1.383752,29,26,0.376623,0.896552
3123,0.01,0.749235,1.366884,28,24,0.363636,0.857143
3124,0.01,0.780065,1.339473,29,23,0.376623,0.793103
3125,0.01,0.853011,1.363178,33,28,0.428571,0.848485
3126,0.01,0.753926,1.353591,23,19,0.298701,0.826087
3127,0.01,0.830701,1.334399,32,25,0.415584,0.78125
3128,0.01,0.810814,1.339473,29,23,0.376623,0.793103
3129,0.01,0.823065,1.328157,30,23,0.38961,0.766667
3130,0.01,0.775722,1.358994,31,26,0.402597,0.83871
3131,0.01,0.790837,1.37096,30,26,0.38961,0.866667
3132,0.01,0.753251,1.348766,27,22,0.350649,0.814815
3133,0.01,0.765868,1.37096,30,26,0.38961,0.866667
3134,0.01,0.751732,1.354233,29,24,0.376623,0.827586
3135,0.01,0.806533,1.363178,33,28,0.428571,0.848485
3136,0.01,0.750415,1.383752,29,26,0.376623,0.896552
3137,0.01,0.843909,1.36218,26,22,0.337662,0.846154
3138,0.01,0.777716,1.385228,30,27,0.38961,0.9
3139,0.01,0.852633,1.339473,29,23,0.376623,0.793103
3140,0.01,0.813461,1.359546,25,21,0.324675,0.84
3141,0.01,0.787312,1.356693,30,25,0.38961,0.833333
3142,0.01,0.807441,1.385228,30,27,0.38961,0.9
3143,0.01,0.8737,1.311295,33,24,0.428571,0.727273
3144,0.01,0.776611,1.356693,30,25,0.38961,0.833333
3145,0.01,0.825864,1.364619,27,23,0.350649,0.851852
3146,0.01,0.724094,1.380472,27,24,0.350649,0.888889
3147,0.01,0.774968,1.334399,32,25,0.415584,0.78125
3148,0.01,0.702507,1.395106,26,24,0.337662,0.923077
3149,0.01,0.717862,1.376148,33,29,0.428571,0.878788
3150,0.01,0.761644,1.345717,26,21,0.337662,0.807692
3151,0.01,0.756774,1.376148,33,29,0.428571,0.878788
3152,0.01,0.873499,1.354233,29,24,0.376623,0.827586
3153,0.01,0.754688,1.378643,26,23,0.337662,0.884615
3154,0.01,0.768995,1.339473,29,23,0.376623,0.793103
3155,0.01,0.75279,1.37096,30,26,0.38961,0.866667
3156,0.01,0.945596,1.305736,28,20,0.363636,0.714286
3157,0.01,0.768201,1.361151,32,27,0.415584,0.84375
3158,0.01,0.85374,1.351597,28,23,0.363636,0.821429
3159,0.01,0.793198,1.345717,26,21,0.337662,0.807692
3160,0.01,0.8147,1.342425,30,24,0.38961,0.8
3161,0.01,0.834787,1.385228,30,27,0.38961,0.9
3162,0.01,0.817892,1.345717,26,21,0.337662,0.807692
3163,0.01,0.801429,1.345717,26,21,0.337662,0.807692
3164,0.01,0.786114,1.334399,32,25,0.415584,0.78125
3165,0.01,0.783871,1.313889,30,22,0.38961,0.733333
3166,0.01,0.784934,1.356693,30,25,0.38961,0.833333
3167,0.01,0.866302,1.342425,25,20,0.324675,0.8
3168,0.01,0.721359,1.353591,23,19,0.298701,0.826087
3169,0.01,0.844006,1.329255,26,20,0.337662,0.769231
3170,0.01,0.767804,1.359546,25,21,0.324675,0.84
3171,0.01,0.819062,1.353591,23,19,0.298701,0.826087
3172,0.01,0.754526,1.364619,27,23,0.350649,0.851852
3173,0.01,0.715932,1.398512,29,27,0.376623,0.931034
3174,0.01,0.752387,1.365085,34,29,0.441558,0.852941
3175,0.01,0.688177,1.33631,28,22,0.363636,0.785714
3176,0.01,0.802849,1.329255,26,20,0.337662,0.769231
3177,0.01,0.747955,1.383752,29,26,0.376623,0.896552
3178,0.01,0.848644,1.351597,28,23,0.363636,0.821429
3179,0.01,0.815568,1.33631,28,22,0.363636,0.785714
3180,0.01,0.744265,1.383752,29,26,0.376623,0.896552
3181,0.01,0.690209,1.378643,26,23,0.337662,0.884615
3182,0.01,0.787542,1.33631,28,22,0.363636,0.785714
3183,0.01,0.802248,1.324713,29,22,0.376623,0.758621
3184,0.01,0.815051,1.378643,26,23,0.337662,0.884615
3185,0.01,0.779134,1.372801,31,27,0.402597,0.870968
3186,0.01,0.779133,1.372801,31,27,0.402597,0.870968
3187,0.01,0.73837,1.329255,26,20,0.337662,0.769231
3188,0.01,0.711247,1.372801,31,27,0.402597,0.870968
3189,0.01,0.842573,1.377674,34,30,0.441558,0.882353
3190,0.01,0.777244,1.334981,23,18,0.298701,0.782609
