window_id,hallucinated,mode_s,lang_id_entropy,length_ratio,cr,per_speaker_length_entropy,per_speaker_length_gini,sep_to_mix_length_ratio,sep_to_mix_runtime_ratio,speaker_attribution_consistency,per_speaker_overlap_fraction,effective_speaker_count,best_detector_flag
58,False,False,0.0,0.952941,1.265625,0.0,0.0,0.952941,0.455218,0.0,0.0,1.0,False
59,False,False,0.325552,84.0,1.308108,0.0,1.0,84.0,5.206718,0.0,0.0,1.0,False
60,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.213645,0.0,0.0,0.0,False
61,False,False,0.0,0.958763,1.285714,0.0,1.0,0.958763,1.163249,0.0,0.0,1.0,False
62,False,False,0.0,0.0,0.0,0.0,0.0,0.0,2.15609,0.0,0.0,0.0,False
63,True,False,1.426068,67.0,0.922535,0.0,1.0,67.0,3.737084,0.0,0.0,1.0,False
64,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.60628,0.0,0.0,0.0,False
65,True,False,1.313896,154.0,1.974359,1.577236,0.155844,154.0,23.929719,0.0,1.0,3.0,True
66,False,False,0.0,7.0,0.65625,0.0,2.0,7.0,4.662963,0.0,0.0,1.0,False
67,False,False,0.0,2.0,0.428571,0.0,1.0,2.0,5.53819,0.0,0.0,1.0,False
68,True,False,1.465538,1.73494,1.115702,1.564615,1.541667,1.73494,7.84754,0.0,0.666667,4.0,True
69,True,False,0.967193,1.112069,1.408537,0.972736,0.193798,1.112069,6.697014,0.0,1.0,2.0,True
70,True,False,1.171037,2.358974,0.926174,0.965636,1.217391,2.358974,1.537677,0.0,1.0,2.0,True
71,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.455531,0.0,0.0,0.0,False
72,True,False,1.113908,116.0,1.066298,0.978732,2.362069,116.0,17.771898,0.0,0.666667,3.0,True
73,True,False,1.411981,119.0,0.927632,1.209234,0.890756,119.0,5.83974,0.0,1.0,3.0,True
74,True,False,1.384432,102.0,1.027972,1.399877,1.72549,102.0,20.317181,0.0,0.666667,3.0,True
75,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.174135,0.0,0.0,0.0,False
76,True,False,0.940959,74.0,1.021505,0.0,0.0,74.0,6.106339,0.0,0.0,1.0,False
