pair_id,overlap_ratio,noise_type,snr_db,selected_gate,cer_mixed,cer_sep,cer_flatness_gate,cer_speaker_gate,cer_selector,has_residual,residual_flatness_sel,residual_flatness_max,sim_gap_sel
3,0.6,white,10.0,flatness,0.888889,0.611111,0.555556,0.722222,0.555556,1,0.420146,0.45343,0.183651
3,0.6,white,5.0,flatness,0.833333,0.777778,0.722222,0.777778,0.722222,1,0.465284,0.481784,0.154176
3,0.6,white,0.0,flatness,0.944444,0.722222,1.0,0.722222,1.0,1,0.494885,0.494885,0.134497
3,0.6,pink,10.0,speaker,0.666667,0.666667,0.666667,0.611111,0.611111,1,0.138488,0.140622,0.198355
3,0.6,pink,5.0,speaker,0.722222,0.611111,0.611111,0.611111,0.611111,1,0.148778,0.157065,0.173773
3,0.6,pink,0.0,speaker,0.944444,0.666667,0.666667,0.888889,0.888889,1,0.159146,0.165916,0.103081
3,0.6,babble,10.0,speaker,0.666667,0.777778,0.833333,0.833333,0.833333,1,0.082833,0.086308,0.138529
3,0.6,babble,5.0,speaker,0.888889,12.833333,1.0,1.222222,1.222222,1,0.08173,0.08912,0.114911
3,0.6,babble,0.0,speaker,1.0,1.0,1.0,1.0,1.0,1,0.065751,0.065751,0.187326
3,0.8,white,10.0,speaker,0.833333,0.722222,0.777778,0.555556,0.555556,1,0.398286,0.411519,0.165598
3,0.8,white,5.0,flatness,12.333333,0.833333,0.722222,0.722222,0.722222,1,0.447147,0.458364,0.137538
3,0.8,white,0.0,flatness,12.333333,0.944444,0.944444,0.944444,0.944444,1,0.494299,0.498686,0.122364
3,0.8,pink,10.0,speaker,0.833333,0.5,0.388889,0.388889,0.388889,1,0.138141,0.148713,0.140806
3,0.8,pink,5.0,speaker,0.888889,0.722222,0.722222,0.777778,0.777778,1,0.163087,0.164144,0.131805
3,0.8,pink,0.0,speaker,0.833333,0.722222,0.722222,0.611111,0.611111,1,0.137185,0.140495,0.128956
3,0.8,babble,10.0,speaker,0.777778,0.722222,0.611111,0.555556,0.555556,1,0.083449,0.087481,0.146839
3,0.8,babble,5.0,speaker,8.777778,13.333333,13.0,0.888889,0.888889,1,0.091829,0.096013,0.132276
3,0.8,babble,0.0,none,12.388889,0.944444,1.0,0.944444,0.944444,0,0.0,0.0,0.0
4,0.6,white,10.0,speaker,0.7,0.55,0.45,0.45,0.45,1,0.39242,0.419429,0.141369
4,0.6,white,5.0,flatness,0.7,0.85,0.85,0.8,0.85,1,0.445109,0.457042,0.151511
4,0.6,white,0.0,none,0.95,1.2,0.85,1.2,1.2,0,0.0,0.0,0.0
4,0.6,pink,10.0,speaker,0.75,0.75,0.8,0.75,0.75,1,0.1278,0.148192,0.112841
4,0.6,pink,5.0,speaker,0.75,0.65,0.65,0.75,0.75,1,0.155543,0.155543,0.192583
4,0.6,pink,0.0,none,0.85,0.85,0.85,0.85,0.85,0,0.0,0.0,0.0
4,0.6,babble,10.0,speaker,0.7,0.75,0.8,0.65,0.65,1,0.077861,0.0851,0.13065
4,0.6,babble,5.0,speaker,0.85,1.2,1.3,0.7,0.7,1,0.084871,0.084871,0.121979
4,0.6,babble,0.0,speaker,1.0,1.0,1.0,1.0,1.0,1,0.099592,0.099592,0.106684
4,0.8,white,10.0,none,0.75,0.75,0.65,0.75,0.75,0,0.0,0.0,0.0
4,0.8,white,5.0,none,0.85,0.75,0.75,0.75,0.75,0,0.0,0.0,0.0
4,0.8,white,0.0,none,0.9,1.05,1.2,1.05,1.05,0,0.0,0.0,0.0
4,0.8,pink,10.0,none,11.05,0.55,0.55,0.55,0.55,0,0.0,0.0,0.0
4,0.8,pink,5.0,none,0.8,0.4,0.35,0.4,0.4,0,0.0,0.0,0.0
4,0.8,pink,0.0,none,0.8,1.1,1.1,1.1,1.1,0,0.0,0.0,0.0
4,0.8,babble,10.0,speaker,0.7,1.25,0.8,0.85,0.85,1,0.087669,0.087669,0.138702
4,0.8,babble,5.0,none,0.95,13.05,0.95,13.05,13.05,0,0.0,0.0,0.0
4,0.8,babble,0.0,speaker,1.0,2.65,1.0,0.95,0.95,1,0.094964,0.094964,0.174599
5,0.6,white,10.0,flatness,0.941176,0.705882,0.705882,0.705882,0.705882,1,0.425683,0.425683,0.25167
5,0.6,white,5.0,flatness,1.0,0.647059,0.764706,0.647059,0.764706,1,0.505723,0.505723,0.226696
5,0.6,white,0.0,flatness,1.0,0.941176,1.0,1.0,1.0,1,0.497545,0.527317,0.101829
5,0.6,pink,10.0,speaker,0.705882,0.529412,0.529412,0.529412,0.529412,1,0.172818,0.172818,0.222038
5,0.6,pink,5.0,speaker,0.941176,0.823529,0.764706,0.764706,0.764706,1,0.145016,0.145016,0.191099
5,0.6,pink,0.0,speaker,1.0,0.823529,0.764706,0.823529,0.823529,1,0.147847,0.147847,0.150658
5,0.6,babble,10.0,speaker,0.941176,0.705882,0.882353,0.764706,0.764706,1,0.10707,0.10707,0.155581
5,0.6,babble,5.0,speaker,1.0,1.352941,1.176471,0.764706,0.764706,1,0.081146,0.081146,0.163603
5,0.6,babble,0.0,none,1.0,9.823529,1.176471,9.823529,9.823529,0,0.0,0.0,0.0
5,0.8,white,10.0,speaker,0.941176,0.764706,0.764706,0.764706,0.764706,1,0.392939,0.392939,0.128263
5,0.8,white,5.0,flatness,0.941176,0.941176,0.941176,0.941176,0.941176,1,0.441449,0.441449,0.108146
5,0.8,white,0.0,none,0.941176,0.882353,1.0,0.882353,0.882353,0,0.0,0.0,0.0
5,0.8,pink,10.0,none,8.647059,0.647059,0.705882,0.647059,0.647059,0,0.0,0.0,0.0
5,0.8,pink,5.0,none,6.529412,0.882353,0.882353,0.882353,0.882353,0,0.0,0.0,0.0
5,0.8,pink,0.0,none,0.941176,0.941176,0.941176,0.941176,0.941176,0,0.0,0.0,0.0
5,0.8,babble,10.0,none,17.411765,0.941176,0.823529,0.941176,0.941176,0,0.0,0.0,0.0
5,0.8,babble,5.0,none,1.0,1.0,0.941176,1.0,1.0,0,0.0,0.0,0.0
5,0.8,babble,0.0,speaker,0.941176,1.0,0.941176,0.941176,0.941176,1,0.057477,0.057477,0.112675
6,0.6,white,10.0,flatness,0.5,0.388889,0.388889,0.444444,0.388889,1,0.447265,0.509436,0.138889
6,0.6,white,5.0,flatness,0.555556,0.611111,0.555556,0.555556,0.555556,1,0.488629,0.534247,0.103659
6,0.6,white,0.0,flatness,0.777778,0.944444,16.777778,0.944444,16.777778,1,0.5544,0.5544,0.169649
6,0.6,pink,10.0,speaker,0.555556,0.333333,0.333333,0.444444,0.444444,1,0.151957,0.170149,0.171747
6,0.6,pink,5.0,speaker,0.5,0.444444,0.444444,0.5,0.5,1,0.143359,0.150832,0.14163
6,0.6,pink,0.0,speaker,0.777778,0.666667,0.666667,0.777778,0.777778,1,0.165525,0.169289,0.109595
6,0.6,babble,10.0,speaker,0.666667,0.555556,0.666667,0.555556,0.555556,1,0.097479,0.122545,0.128132
6,0.6,babble,5.0,speaker,0.722222,1.0,0.611111,0.666667,0.666667,1,0.09513,0.108674,0.10318
6,0.6,babble,0.0,speaker,12.277778,1.444444,0.833333,0.888889,0.888889,1,0.08999,0.102424,0.138424
6,0.8,white,10.0,none,0.888889,0.333333,0.333333,0.333333,0.333333,0,0.0,0.0,0.0
6,0.8,white,5.0,none,0.666667,0.555556,0.611111,0.555556,0.555556,0,0.0,0.0,0.0
6,0.8,white,0.0,none,0.888889,6.611111,16.722222,6.611111,6.611111,0,0.0,0.0,0.0
6,0.8,pink,10.0,none,0.611111,0.388889,0.388889,0.388889,0.388889,0,0.0,0.0,0.0
6,0.8,pink,5.0,speaker,0.888889,0.666667,0.666667,0.722222,0.722222,1,0.165661,0.165661,0.112261
6,0.8,pink,0.0,speaker,0.888889,0.5,0.5,0.5,0.5,1,0.184789,0.184789,0.127893
6,0.8,babble,10.0,none,0.833333,0.5,0.555556,0.5,0.5,0,0.0,0.0,0.0
6,0.8,babble,5.0,none,0.888889,0.833333,12.277778,0.833333,0.833333,0,0.0,0.0,0.0
6,0.8,babble,0.0,speaker,0.777778,0.888889,1.0,0.833333,0.833333,1,0.103421,0.103421,0.150687
7,0.6,white,10.0,flatness,0.863636,0.863636,0.818182,0.818182,0.818182,1,0.424533,0.432746,0.147516
7,0.6,white,5.0,flatness,0.818182,0.863636,0.863636,0.863636,0.863636,1,0.455671,0.462485,0.113307
7,0.6,white,0.0,flatness,0.954545,0.818182,0.818182,0.818182,0.818182,1,0.484416,0.490434,0.104507
7,0.6,pink,10.0,speaker,0.727273,0.545455,0.545455,0.545455,0.545455,1,0.129221,0.136654,0.125075
7,0.6,pink,5.0,speaker,0.727273,0.409091,0.409091,0.454545,0.454545,1,0.148822,0.165487,0.141467
7,0.6,pink,0.0,speaker,1.0,0.818182,0.818182,0.863636,0.863636,1,0.144786,0.144917,0.110938
7,0.6,babble,10.0,speaker,0.636364,0.681818,0.681818,0.681818,0.681818,1,0.069066,0.078805,0.128695
7,0.6,babble,5.0,speaker,0.818182,0.909091,0.909091,0.636364,0.636364,1,0.070005,0.073107,0.142526
7,0.6,babble,0.0,speaker,0.863636,0.863636,1.0,1.0,1.0,1,0.089039,0.10359,0.114665
7,0.8,white,10.0,flatness,0.772727,0.818182,0.863636,0.818182,0.863636,1,0.433775,0.433775,0.143793
7,0.8,white,5.0,flatness,1.0,0.681818,0.818182,0.818182,0.818182,1,0.469081,0.469081,0.119304
7,0.8,white,0.0,flatness,1.0,0.909091,0.954545,0.909091,0.954545,1,0.487224,0.487224,0.11368
7,0.8,pink,10.0,speaker,0.681818,0.454545,0.454545,0.454545,0.454545,1,0.170127,0.170127,0.179294
7,0.8,pink,5.0,speaker,0.681818,0.454545,0.454545,0.454545,0.454545,1,0.140506,0.140506,0.18192
7,0.8,pink,0.0,speaker,10.090909,0.636364,0.636364,0.636364,0.636364,1,0.186219,0.186219,0.130185
7,0.8,babble,10.0,speaker,0.727273,0.590909,0.5,0.5,0.5,1,0.0679,0.0679,0.186675
7,0.8,babble,5.0,speaker,0.863636,0.818182,0.818182,0.818182,0.818182,1,0.094892,0.094892,0.14345
7,0.8,babble,0.0,speaker,1.0,1.0,0.909091,0.954545,0.954545,1,0.082463,0.083126,0.161054
