con,pro,overlap_ratio,cer_mixed,cer_sep,catastrophic,no_speech_prob,avg_logprob,decoder_confidence,token_entropy,dominant_token_fraction,confident_silent_score,compression_ratio,cr_lat_frac,lockin_lat_frac
con_007,pro_012,0.1,0.294118,0.529412,False,0.149413,-0.882851,0.413602,2.079442,0.2,0.055108,0.727273,,
con_008,pro_003,0.1,0.392857,0.607143,False,0.623746,-0.669762,0.51183,2.458311,0.153846,0.319252,0.857143,,
con_008,pro_009,0.1,0.241379,0.482759,False,0.613885,-0.668923,0.51226,2.458311,0.153846,0.314469,0.822581,,
con_008,pro_015,0.1,0.25,0.55,False,0.667751,-0.647012,0.523608,2.197225,0.142857,0.330503,0.78,,
con_009,pro_006,0.1,0.75,0.916667,False,0.25744,-0.98065,0.375067,1.906155,0.25,0.076042,0.769231,,
con_009,pro_012,0.1,0.916667,0.916667,False,0.190654,-0.828746,0.436596,1.906155,0.25,0.071508,0.727273,,
con_010,pro_002,0.1,0.454545,10.363636,True,0.174235,-0.082027,0.921247,0.08578,0.986607,0.10211,29.086957,0.125,0.022422
con_010,pro_002,0.3,0.363636,0.909091,False,0.179109,-0.623631,0.535995,2.540036,0.142857,0.096001,0.863636,,
con_010,pro_002,0.5,0.409091,0.363636,False,0.177694,-0.623475,0.536078,2.397895,0.142857,0.095258,0.785714,,
con_010,pro_004,0.1,0.322581,0.580645,False,0.20455,-0.70375,0.494727,2.564949,0.1,0.101197,0.866667,,
con_010,pro_006,0.1,0.6,9.6,True,0.259205,-0.228948,0.79537,2.540036,0.142857,0.206164,15.75,0.2,
con_010,pro_006,0.3,0.6,0.85,False,0.248148,-0.630653,0.532244,2.044931,0.142857,0.092209,1.3125,,
con_010,pro_006,0.5,0.55,0.6,False,0.332541,-0.62179,0.536982,2.351673,0.153846,0.098747,0.775,,
con_010,pro_011,0.1,0.458333,0.583333,False,0.198556,-0.643009,0.525708,2.043192,0.222222,0.104383,0.775,,
con_011,pro_002,0.1,0.216216,6.27027,True,0.095821,-0.080931,0.922257,0.08578,0.986607,0.088372,29.086957,0.125,0.022422
con_011,pro_002,0.3,0.324324,6.27027,True,0.12076,-0.08227,0.921023,0.08578,0.986607,0.111223,29.086957,0.125,0.022422
con_011,pro_002,0.5,0.297297,6.27027,True,0.111395,-0.082103,0.921177,0.08578,0.986607,0.102614,29.086957,0.125,0.022422
con_011,pro_003,0.1,0.404762,0.285714,False,0.12236,-0.626422,0.534501,2.833213,0.125,0.05069,0.857143,,
