pair_id,overlap_ratio,noise_type,snr_db,selected_gate,cer_mixed,cer_sep,cer_flatness_gate,cer_speaker_gate,cer_selector,has_residual,residual_flatness_sel,residual_flatness_max,sim_gap_sel
1,0.3,white,0.0,flatness,0.952381,0.857143,0.952381,0.857143,0.952381,1,0.554958,0.55873,0.169939
1,0.3,pink,10.0,speaker,0.666667,0.809524,0.809524,0.904762,0.904762,1,0.162627,0.165477,0.262821
1,0.3,pink,5.0,speaker,0.761905,0.714286,0.714286,0.809524,0.809524,1,0.170996,0.182132,0.24687
1,0.3,pink,0.0,speaker,0.904762,0.904762,0.904762,0.857143,0.857143,1,0.172004,0.183965,0.221193
1,0.3,babble,10.0,speaker,0.857143,0.809524,0.761905,0.761905,0.761905,1,0.091029,0.09441,0.19285
1,0.3,babble,5.0,speaker,10.619048,1.190476,1.0,0.952381,0.952381,1,0.085632,0.085632,0.240782
1,0.3,babble,0.0,speaker,1.095238,2.238095,1.0,1.0,1.0,1,0.072773,0.078081,0.115815
2,0.1,white,10.0,flatness,0.888889,0.722222,0.666667,0.666667,0.666667,1,0.4684,0.530481,0.124378
2,0.1,white,5.0,flatness,0.944444,0.944444,0.833333,0.888889,0.833333,1,0.50791,0.546747,0.153694
2,0.1,white,0.0,flatness,1.0,0.944444,0.944444,0.944444,0.944444,1,0.549953,0.549953,0.133043
2,0.1,pink,10.0,speaker,0.722222,0.555556,0.5,0.555556,0.555556,1,0.158816,0.186154,0.163131
2,0.1,pink,5.0,speaker,0.777778,0.777778,0.777778,0.944444,0.944444,1,0.165732,0.176622,0.17847
2,0.1,pink,0.0,speaker,1.055556,0.777778,0.777778,0.944444,0.944444,1,0.172767,0.18066,0.161463
2,0.1,babble,10.0,speaker,0.666667,0.722222,0.888889,0.666667,0.666667,1,0.08837,0.095783,0.136373
2,0.1,babble,5.0,speaker,0.833333,1.388889,1.333333,1.166667,1.166667,1,0.092114,0.096446,0.150888
2,0.1,babble,0.0,speaker,1.0,16.944444,16.388889,0.944444,0.944444,1,0.100887,0.101329,0.100765
2,0.3,white,10.0,flatness,0.833333,0.888889,1.0,0.888889,1.0,1,0.44791,0.489888,0.134223
2,0.3,white,5.0,flatness,0.944444,0.722222,0.944444,0.777778,0.944444,1,0.511176,0.558874,0.163426
2,0.3,white,0.0,none,1.0,0.888889,0.944444,0.888889,0.888889,0,0.0,0.0,0.0
2,0.3,pink,10.0,speaker,0.722222,0.333333,0.333333,0.666667,0.666667,1,0.160551,0.170519,0.168251
2,0.3,pink,5.0,speaker,0.833333,0.944444,0.944444,0.888889,0.888889,1,0.166435,0.184535,0.177218
2,0.3,pink,0.0,speaker,0.944444,0.833333,0.833333,0.888889,0.888889,1,0.180936,0.189294,0.14172
2,0.3,babble,10.0,speaker,0.777778,0.722222,0.722222,0.666667,0.666667,1,0.085266,0.088718,0.139659
2,0.3,babble,5.0,speaker,0.722222,0.611111,0.611111,0.611111,0.611111,1,0.103185,0.103185,0.157652
2,0.3,babble,0.0,speaker,0.944444,0.777778,0.833333,0.722222,0.722222,1,0.086178,0.086178,0.132937
3,0.1,white,10.0,flatness,0.777778,0.555556,0.611111,0.555556,0.611111,1,0.542671,0.553468,0.394826
3,0.1,white,5.0,flatness,0.722222,0.722222,0.888889,0.777778,0.888889,1,0.549032,0.562363,0.375252
3,0.1,white,0.0,flatness,0.888889,0.666667,0.944444,0.722222,0.944444,1,0.562794,0.562827,0.269326
3,0.1,pink,10.0,speaker,0.722222,0.666667,0.666667,0.611111,0.611111,1,0.137937,0.148536,0.314834
3,0.1,pink,5.0,speaker,0.944444,0.833333,0.833333,0.722222,0.722222,1,0.164644,0.168922,0.312349
3,0.1,pink,0.0,speaker,1.166667,0.944444,0.944444,0.888889,0.888889,1,0.142011,0.160288,0.244866
3,0.1,babble,10.0,speaker,0.777778,0.5,0.5,0.5,0.5,1,0.088012,0.089953,0.244794
3,0.1,babble,5.0,speaker,1.0,1.388889,0.777778,0.722222,0.722222,1,0.074447,0.078923,0.154419
3,0.1,babble,0.0,speaker,1.0,1.277778,1.0,0.944444,0.944444,1,0.078007,0.090256,0.182518
3,0.3,white,10.0,flatness,0.666667,0.611111,0.722222,0.611111,0.722222,1,0.507864,0.525398,0.226865
3,0.3,white,5.0,flatness,0.833333,0.833333,0.777778,0.722222,0.777778,1,0.498675,0.511813,0.160643
3,0.3,white,0.0,flatness,0.944444,0.777778,1.111111,0.666667,1.111111,1,0.54828,0.54828,0.183174
3,0.3,pink,10.0,speaker,0.722222,0.722222,0.722222,0.611111,0.611111,1,0.1349,0.136331,0.252719
3,0.3,pink,5.0,speaker,0.777778,0.611111,0.722222,0.555556,0.555556,1,0.130944,0.156887,0.194825
3,0.3,pink,0.0,speaker,1.0,0.944444,0.944444,0.888889,0.888889,1,0.151878,0.153511,0.176698
3,0.3,babble,10.0,speaker,0.666667,0.722222,0.777778,0.777778,0.777778,1,0.084228,0.088182,0.195147
3,0.3,babble,5.0,speaker,0.888889,1.444444,1.388889,0.555556,0.555556,1,0.079945,0.080814,0.189065
3,0.3,babble,0.0,speaker,1.555556,2.388889,13.0,1.0,1.0,1,0.072964,0.080666,0.141787
4,0.1,white,10.0,flatness,0.65,0.6,0.55,0.55,0.55,1,0.493586,0.544898,0.261348
4,0.1,white,5.0,flatness,0.7,0.7,0.7,0.65,0.7,1,0.518705,0.5541,0.284024
4,0.1,white,0.0,none,0.85,1.2,0.9,1.2,1.2,0,0.0,0.0,0.0
4,0.1,pink,10.0,speaker,0.7,0.75,0.75,0.55,0.55,1,0.156499,0.169311,0.303977
4,0.1,pink,5.0,speaker,0.7,22.55,22.55,22.45,22.45,1,0.159846,0.170685,0.216584
4,0.1,pink,0.0,speaker,0.75,1.1,1.1,0.8,0.8,1,0.162003,0.170846,0.216558
4,0.1,babble,10.0,speaker,0.75,1.9,0.6,0.8,0.8,1,0.087095,0.090611,0.195643
4,0.1,babble,5.0,speaker,0.75,1.55,1.1,0.85,0.85,1,0.088909,0.092157,0.140115
4,0.1,babble,0.0,speaker,0.95,2.2,1.15,1.0,1.0,1,0.078881,0.081396,0.175167
4,0.3,white,10.0,flatness,0.7,0.5,0.55,0.55,0.55,1,0.455146,0.513382,0.20038
4,0.3,white,5.0,flatness,0.85,0.7,0.55,0.7,0.55,1,0.489272,0.523034,0.159276
4,0.3,white,0.0,none,1.15,0.85,0.85,0.85,0.85,0,0.0,0.0,0.0
4,0.3,pink,10.0,speaker,0.75,0.5,0.5,0.6,0.6,1,0.148167,0.162813,0.16275
4,0.3,pink,5.0,speaker,0.7,0.85,0.8,0.9,0.9,1,0.142288,0.154269,0.157471
4,0.3,pink,0.0,speaker,0.85,0.7,0.7,0.9,0.9,1,0.162607,0.167781,0.110968
4,0.3,babble,10.0,speaker,0.8,0.65,5.2,0.65,0.65,1,0.078763,0.085323,0.160356
4,0.3,babble,5.0,speaker,1.0,1.2,1.25,0.9,0.9,1,0.080633,0.08461,0.128875
4,0.3,babble,0.0,none,1.2,2.1,1.0,2.1,2.1,0,0.0,0.0,0.0
5,0.1,white,10.0,flatness,0.705882,0.764706,0.647059,0.764706,0.647059,1,0.515262,0.53905,0.260877
5,0.1,white,5.0,flatness,0.823529,0.882353,0.882353,0.941176,0.882353,1,0.528227,0.54394,0.22501
5,0.1,white,0.0,flatness,0.941176,0.941176,0.941176,0.941176,0.941176,1,0.534779,0.549641,0.201396
5,0.1,pink,10.0,speaker,0.705882,0.470588,0.470588,0.470588,0.470588,1,0.165915,0.178052,0.31375
5,0.1,pink,5.0,speaker,0.882353,0.764706,0.764706,0.882353,0.882353,1,0.134995,0.152815,0.28238
5,0.1,pink,0.0,speaker,0.941176,0.941176,0.941176,0.941176,0.941176,1,0.167689,0.184784,0.169693
5,0.1,babble,10.0,speaker,0.705882,1.058824,1.411765,10.117647,10.117647,1,0.075843,0.097965,0.177817
5,0.1,babble,5.0,speaker,0.941176,0.882353,0.882353,0.941176,0.941176,1,0.099843,0.104752,0.142575
5,0.1,babble,0.0,speaker,1.588235,1.0,2.0,1.0,1.0,1,0.084065,0.092031,0.118127
5,0.3,white,10.0,flatness,0.882353,0.588235,0.823529,0.647059,0.823529,1,0.492913,0.497532,0.235039
5,0.3,white,5.0,flatness,0.941176,0.941176,0.882353,0.941176,0.882353,1,0.533605,0.547297,0.251982
5,0.3,white,0.0,flatness,0.941176,0.941176,0.941176,0.882353,0.941176,1,0.536353,0.553521,0.184484
5,0.3,pink,10.0,speaker,0.647059,0.647059,0.647059,0.647059,0.647059,1,0.156214,0.164822,0.307529
5,0.3,pink,5.0,speaker,0.882353,0.764706,0.764706,0.764706,0.764706,1,0.156521,0.162266,0.266046
5,0.3,pink,0.0,speaker,0.941176,0.882353,0.882353,0.882353,0.882353,1,0.143364,0.145031,0.191064
5,0.3,babble,10.0,speaker,0.941176,0.764706,0.882353,0.882353,0.882353,1,0.089436,0.103133,0.190034
5,0.3,babble,5.0,speaker,0.823529,1.470588,1.0,13.764706,13.764706,1,0.08465,0.093849,0.129336
5,0.3,babble,0.0,speaker,0.941176,1.0,8.764706,13.117647,13.117647,1,0.090547,0.096944,0.119298
6,0.1,white,10.0,flatness,0.277778,0.555556,0.5,0.555556,0.5,1,0.534205,0.534205,0.198258
6,0.1,white,5.0,flatness,0.5,0.666667,0.666667,0.666667,0.666667,1,0.548195,0.548195,0.17754
6,0.1,white,0.0,flatness,0.888889,0.944444,0.944444,0.944444,0.944444,1,0.553132,0.553132,0.153831
6,0.1,pink,10.0,speaker,0.5,0.5,0.5,0.388889,0.388889,1,0.184738,0.19257,0.138063
6,0.1,pink,5.0,speaker,0.277778,0.611111,0.611111,0.666667,0.666667,1,0.167164,0.174054,0.110733
6,0.1,pink,0.0,speaker,0.666667,0.944444,0.944444,0.777778,0.777778,1,0.160171,0.160171,0.216857
6,0.1,babble,10.0,speaker,0.722222,0.611111,0.777778,0.555556,0.555556,1,0.083945,0.090999,0.167512
6,0.1,babble,5.0,speaker,0.722222,0.722222,0.777778,0.888889,0.888889,1,0.08586,0.08586,0.13188
6,0.1,babble,0.0,speaker,0.722222,0.777778,12.944444,0.777778,0.777778,1,0.110029,0.110029,0.144704
6,0.3,white,10.0,flatness,0.388889,0.388889,0.388889,0.388889,0.388889,1,0.484245,0.535148,0.118309
6,0.3,white,5.0,flatness,0.444444,0.611111,0.5,0.611111,0.5,1,0.547888,0.547888,0.184858
6,0.3,white,0.0,flatness,0.611111,0.888889,0.833333,0.888889,0.833333,1,0.553487,0.553487,0.109778
6,0.3,pink,10.0,speaker,0.388889,0.611111,0.611111,0.388889,0.388889,1,0.165002,0.182141,0.134474
6,0.3,pink,5.0,speaker,0.888889,0.5,0.5,0.5,0.5,1,0.166093,0.179712,0.105702
6,0.3,pink,0.0,speaker,0.555556,0.777778,0.777778,0.833333,0.833333,1,0.169113,0.172127,0.100078
6,0.3,babble,10.0,speaker,0.611111,0.555556,0.555556,0.444444,0.444444,1,0.104098,0.130512,0.191483
6,0.3,babble,5.0,speaker,6.222222,1.0,0.833333,1.0,1.0,1,0.099855,0.099855,0.126954
6,0.3,babble,0.0,speaker,0.722222,1.0,0.833333,1.111111,1.111111,1,0.09424,0.09424,0.105331
7,0.1,white,10.0,flatness,0.636364,0.863636,0.863636,0.818182,0.863636,1,0.520141,0.531443,0.347572
7,0.1,white,5.0,flatness,0.772727,0.545455,0.545455,0.545455,0.545455,1,0.540959,0.550101,0.319902
7,0.1,white,0.0,flatness,0.909091,0.818182,0.863636,0.863636,0.863636,1,0.550277,0.557024,0.281637
7,0.1,pink,10.0,speaker,0.636364,0.5,0.5,0.5,0.5,1,0.182265,0.190544,0.29976
7,0.1,pink,5.0,speaker,0.409091,0.772727,0.772727,0.863636,0.863636,1,0.170825,0.177419,0.311566
7,0.1,pink,0.0,speaker,0.454545,0.863636,0.863636,0.818182,0.818182,1,0.142179,0.166188,0.149826
7,0.1,babble,10.0,speaker,0.636364,0.681818,0.681818,0.681818,0.681818,1,0.075548,0.079997,0.275916
7,0.1,babble,5.0,speaker,0.772727,1.727273,1.409091,0.772727,0.772727,1,0.088563,0.092754,0.215628
7,0.1,babble,0.0,speaker,0.818182,0.909091,0.909091,0.863636,0.863636,1,0.077588,0.088815,0.126144
7,0.3,white,10.0,flatness,0.681818,0.818182,0.772727,0.818182,0.772727,1,0.482143,0.484716,0.24053
7,0.3,white,5.0,flatness,0.772727,0.863636,0.863636,0.863636,0.863636,1,0.500975,0.504695,0.195927
7,0.3,white,0.0,flatness,1.090909,0.772727,0.909091,0.863636,0.909091,1,0.515926,0.516044,0.180596
7,0.3,pink,10.0,speaker,0.681818,0.5,0.5,0.5,0.5,1,0.153829,0.158758,0.245642
7,0.3,pink,5.0,speaker,0.5,0.5,0.5,0.909091,0.909091,1,0.146433,0.159756,0.228037
7,0.3,pink,0.0,speaker,6.954545,0.818182,0.818182,0.863636,0.863636,1,0.166869,0.178374,0.189236
7,0.3,babble,10.0,speaker,0.727273,0.772727,0.772727,0.636364,0.636364,1,0.092377,0.108207,0.209861
7,0.3,babble,5.0,speaker,0.636364,1.409091,1.272727,0.909091,0.909091,1,0.06624,0.070967,0.154563
7,0.3,babble,0.0,speaker,0.818182,10.727273,10.454545,10.136364,10.136364,1,0.078137,0.083987,0.123328
0,0.6,white,10.0,flatness,0.78125,0.34375,0.40625,0.34375,0.40625,1,0.493263,0.533941,0.284866
