resample,threshold,oob_cpwer,n_oob,n_escalated_oob,oob_fraction,escalation_fraction_oob
789,0.01,0.770608,25,22,0.324675,0.88
790,0.01,0.706378,30,27,0.38961,0.9
791,0.01,0.737258,27,25,0.350649,0.925926
792,0.01,0.822677,34,29,0.441558,0.852941
793,0.01,0.798013,30,25,0.38961,0.833333
794,0.01,0.810933,33,26,0.428571,0.787879
795,0.01,0.740816,30,28,0.38961,0.933333
796,0.01,0.707106,28,26,0.363636,0.928571
797,0.01,0.806336,30,25,0.38961,0.833333
798,0.01,0.805105,30,26,0.38961,0.866667
799,0.01,0.792752,23,18,0.298701,0.782609
800,0.01,0.701706,30,25,0.38961,0.833333
801,0.01,0.85984,30,25,0.38961,0.833333
802,0.01,0.824751,26,21,0.337662,0.807692
803,0.01,0.698576,24,23,0.311688,0.958333
804,3.22,0.966203,27,19,0.350649,0.703704
805,0.01,0.745458,28,23,0.363636,0.821429
806,0.01,0.765326,31,27,0.402597,0.870968
807,3.31,1.018309,34,22,0.441558,0.647059
808,0.01,0.791167,34,30,0.441558,0.882353
809,0.01,0.866676,24,20,0.311688,0.833333
810,0.01,0.717293,29,24,0.376623,0.827586
811,0.01,0.813738,36,28,0.467532,0.777778
812,0.01,0.907244,28,23,0.363636,0.821429
813,0.01,0.694937,27,26,0.350649,0.962963
814,0.01,0.811379,27,22,0.350649,0.814815
815,0.01,0.775942,28,25,0.363636,0.892857
816,0.01,0.797706,31,23,0.402597,0.741935
817,0.01,0.811351,31,27,0.402597,0.870968
818,0.01,0.773871,29,24,0.376623,0.827586
819,0.01,0.812001,29,24,0.376623,0.827586
820,0.01,0.721209,28,24,0.363636,0.857143
821,0.01,0.721424,32,26,0.415584,0.8125
822,3.31,0.925682,27,20,0.350649,0.740741
823,0.01,0.870875,27,21,0.350649,0.777778
824,0.01,0.695845,30,23,0.38961,0.766667
825,0.01,0.770666,30,25,0.38961,0.833333
826,0.01,0.759445,25,17,0.324675,0.68
827,0.01,0.793904,24,19,0.311688,0.791667
828,0.01,0.835205,27,21,0.350649,0.777778
829,0.01,0.802811,30,24,0.38961,0.8
830,0.01,0.834963,25,19,0.324675,0.76
831,0.01,0.795903,36,28,0.467532,0.777778
832,0.01,0.82874,27,18,0.350649,0.666667
833,0.01,0.786241,26,23,0.337662,0.884615
834,0.01,0.749335,27,21,0.350649,0.777778
835,0.01,0.870968,27,19,0.350649,0.703704
836,0.01,0.814884,31,25,0.402597,0.806452
837,0.01,0.806141,27,21,0.350649,0.777778
838,0.01,0.894496,29,22,0.376623,0.758621
839,0.01,0.764416,33,27,0.428571,0.818182
840,0.01,0.749335,27,21,0.350649,0.777778
841,0.01,0.798013,30,25,0.38961,0.833333
842,0.01,0.817631,36,30,0.467532,0.833333
