con,pro,overlap_ratio,track,cure,cer,max_compression_ratio,repetition,n_segments
con_001.wav,pro_001.wav,0.7,spk1,greedy_baseline,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.7,spk1,silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.7,spk1,halluc_silence,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.7,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.7,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.7,spk2,greedy_baseline,0.176471,0.8525,0,1
con_001.wav,pro_001.wav,0.7,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.7,spk2,halluc_silence,0.176471,0.8525,0,1
con_001.wav,pro_001.wav,0.7,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.7,spk2,beam5,0.176471,0.8525,0,1
con_001.wav,pro_001.wav,0.8,spk1,greedy_baseline,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.8,spk1,silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.8,spk1,halluc_silence,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.8,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.8,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.8,spk2,greedy_baseline,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.8,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.8,spk2,halluc_silence,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.8,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.8,spk2,beam5,0.176471,0.85,0,1
con_001.wav,pro_001.wav,0.9,spk1,greedy_baseline,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.9,spk1,silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.9,spk1,halluc_silence,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.9,spk1,halluc_silence_trim,0.466667,0.8036,0,1
con_001.wav,pro_001.wav,0.9,spk1,beam5,0.4,0.8036,0,1
con_001.wav,pro_001.wav,0.9,spk2,greedy_baseline,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.9,spk2,silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.9,spk2,halluc_silence,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.9,spk2,halluc_silence_trim,0.235294,0.8226,0,1
con_001.wav,pro_001.wav,0.9,spk2,beam5,0.176471,0.8525,0,1
con_002.wav,pro_008.wav,0.0,spk1,greedy_baseline,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.0,spk1,silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.0,spk1,halluc_silence,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.0,spk1,halluc_silence_trim,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.0,spk1,beam5,0.636364,0.8824,0,1
con_002.wav,pro_008.wav,0.0,spk2,greedy_baseline,0.3,0.7317,0,1
con_002.wav,pro_008.wav,0.0,spk2,silence_trim,0.1,0.7317,0,1
con_002.wav,pro_008.wav,0.0,spk2,halluc_silence,0.3,0.7317,0,1
