window_id,overlap_ratio,overlap_label,num_speakers,tiny_sep_cpwer,base_sep_cpwer,tiny_sep_char_cer,base_sep_char_cer,tiny_mix_cpwer,base_mix_cpwer,kl_sep,kl_mix,mix_ratio_bucket,cascade_escalated_sep
0,0.0,NoOverlap,6,2.3333333333333335,0.9987396251326626,0.967741935483871,0.414223807658708,1.0,0.5186334211037955,2.9794854720210275,4.499800796087188,0.0,False
1,0.0,NoOverlap,1,1.0,0.4280312679139982,1.0,0.4280312679139982,2.0,1.037266842207591,0.0,3.2181623262779864,0.0,False
2,0.0,NoOverlap,1,1.0,0.4280312679139982,0.6637931034482759,0.2841242037015333,2.0,1.037266842207591,3.987502642257188,3.427079542641168,0.0,True
3,0.0,NoOverlap,1,1.0,0.4280312679139982,0.6705202312138728,0.28700362472846125,1.0,0.5186334211037955,3.667248325865896,3.549713791934984,0.0,True
4,0.0,NoOverlap,1,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,0.0,0.0,False
5,0.0,NoOverlap,1,2.0,0.8560625358279964,0.9513888888888888,0.40722419239040103,1.0,0.5186334211037955,4.834073573599553,3.3530856249912984,0.0,True
6,0.0,NoOverlap,2,1.0,0.4280312679139982,0.8466257668711656,0.36238230044252606,1.0,0.5186334211037955,4.2423789310241355,3.5648891332442085,0.0,True
7,0.0,NoOverlap,1,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,0.0,0.0,False
8,0.0,NoOverlap,1,1.0,0.4280312679139982,0.9509803921568627,0.4070493430162532,4.0,2.074533684415182,4.864450679754575,4.105312814782205,0.0,True
9,0.0,NoOverlap,1,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,0.0,0.0,False
10,0.0,NoOverlap,1,1.0,0.4280312679139982,1.0,0.4280312679139982,1.0,0.5186334211037955,0.0,0.0,0.0,False
11,0.0,NoOverlap,1,3.0,1.2840938037419947,0.6939890710382514,0.29704902199496047,1.0,0.5186334211037955,3.2854726006023443,0.0,0.0,False
