pair_id,overlap_ratio,snr_db,cer_mixed,cer_sep,cer_sep_trim,cr_sep1,cr_sep1_trim
3,0.0,10.0,0.777778,0.5,0.5,0.6207,0.6207
3,0.0,5.0,0.833333,0.722222,0.722222,0.6562,0.6562
3,0.0,0.0,0.944444,1.055556,1.055556,0.8108,0.8108
3,0.1,None,0.555556,0.555556,0.444444,0.6667,0.6667
3,0.1,20.0,0.555556,0.555556,0.555556,0.625,0.625
3,0.1,10.0,0.555556,0.611111,0.611111,0.6923,0.6923
3,0.1,5.0,0.944444,0.722222,0.722222,0.7241,0.7241
3,0.1,0.0,0.944444,0.944444,0.944444,0.878,0.878
3,0.2,None,0.666667,0.444444,0.444444,0.6667,0.6667
3,0.2,20.0,0.611111,0.388889,0.388889,0.6667,0.6667
3,0.2,10.0,0.666667,0.666667,0.666667,0.6207,0.6207
3,0.2,5.0,0.888889,0.777778,0.777778,0.75,0.75
3,0.2,0.0,0.944444,0.722222,0.722222,0.6818,0.6818
3,0.4,None,0.611111,0.444444,0.444444,0.6667,0.6667
3,0.4,20.0,0.722222,0.388889,0.388889,0.6207,0.6207
3,0.4,10.0,0.666667,0.666667,0.666667,0.6207,0.6207
3,0.4,5.0,1.222222,0.888889,0.888889,0.7381,0.7381
3,0.4,0.0,0.944444,0.944444,0.944444,1.0345,1.0345
3,0.6,None,0.666667,0.444444,0.444444,0.6667,0.6667
3,0.6,20.0,0.722222,0.611111,0.611111,0.625,0.625
3,0.6,10.0,0.833333,0.666667,0.666667,0.6562,0.6562
3,0.6,5.0,12.444444,0.777778,0.777778,0.7241,0.7241
3,0.6,0.0,0.888889,0.833333,0.833333,0.6818,0.6818
3,0.9,None,0.777778,0.444444,0.444444,0.6667,0.6667
3,0.9,20.0,0.722222,0.444444,0.444444,0.625,0.625
3,0.9,10.0,0.888889,0.722222,0.722222,0.6207,0.6207
3,0.9,5.0,1.333333,0.888889,0.888889,0.7317,0.7317
3,0.9,0.0,6.0,0.666667,0.666667,0.6857,0.6857
4,0.0,None,0.65,0.6,0.5,0.7105,0.75
4,0.0,20.0,0.6,0.55,0.55,0.7105,0.7105
4,0.0,10.0,0.6,0.7,0.7,0.7692,0.7692
4,0.0,5.0,0.6,0.9,0.9,0.766,0.766
4,0.0,0.0,1.15,1.15,1.15,0.8478,0.8478
4,0.1,None,0.65,0.7,0.5,0.7105,0.75
4,0.1,20.0,0.75,0.5,0.5,0.75,0.75
4,0.1,10.0,0.6,0.55,0.55,0.75,0.75
4,0.1,5.0,0.6,0.65,0.65,0.766,0.766
4,0.1,0.0,0.85,11.95,11.95,0.8226,0.8226
4,0.2,None,0.6,0.55,0.5,0.7105,0.75
4,0.2,20.0,0.6,0.55,0.55,0.7105,0.7105
4,0.2,10.0,0.7,0.5,0.5,0.75,0.75
4,0.2,5.0,0.7,11.4,11.4,0.7692,0.7692
4,0.2,0.0,0.95,1.15,1.15,0.8136,0.8136
4,0.4,None,0.7,0.65,0.5,0.7105,0.75
4,0.4,20.0,0.75,0.55,0.55,0.7105,0.7105
4,0.4,10.0,0.75,0.6,0.6,0.75,0.75
4,0.4,5.0,0.8,0.95,0.95,0.6667,0.6667
4,0.4,0.0,1.2,1.05,1.05,0.8491,0.8491
