pair_id,overlap_ratio,snr_db,cr_sep1,cr_sep2,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
2,0.3,0.0,0.7241,0.0,1.0,0.888889,0.888889,0.888889,0.888889,0,1,1
2,0.6,None,0.7105,0.6562,0.777778,0.666667,0.666667,0.666667,0.666667,1,1,1
2,0.6,20.0,0.6562,0.6562,0.777778,0.611111,0.611111,0.666667,0.5,0,1,1
2,0.6,10.0,0.6857,0.7317,0.944444,0.833333,0.833333,0.944444,0.944444,0,1,1
2,0.6,5.0,0.6857,0.6562,12.277778,0.666667,0.666667,0.722222,0.722222,0,1,1
2,0.6,0.0,0.7714,0.0,1.0,0.888889,0.888889,0.888889,0.888889,0,1,1
3,0.0,None,0.6667,0.7317,0.555556,0.444444,0.444444,0.444444,0.444444,1,1,1
3,0.0,20.0,0.6562,0.7317,0.5,0.555556,0.555556,0.611111,0.611111,0,1,1
3,0.0,10.0,0.6207,0.7317,0.777778,0.5,0.5,0.555556,0.555556,0,1,1
3,0.0,5.0,0.6562,0.75,0.833333,0.722222,0.722222,0.777778,0.777778,0,1,1
3,0.0,0.0,0.8108,0.8049,0.944444,1.055556,1.055556,1.055556,1.055556,0,0,1
3,0.1,None,0.6667,0.7317,0.555556,0.555556,0.444444,0.444444,0.444444,1,1,1
3,0.1,20.0,0.625,0.7317,0.555556,0.555556,0.555556,0.444444,0.444444,0,1,1
3,0.1,10.0,0.6923,0.7317,0.555556,0.611111,0.611111,0.722222,0.5,0,1,1
3,0.1,5.0,0.7241,0.7317,0.944444,0.722222,0.722222,0.888889,0.888889,0,1,1
3,0.1,0.0,0.878,0.7317,0.944444,0.944444,0.944444,0.944444,0.833333,0,0,1
3,0.3,None,0.6667,0.7317,0.555556,0.555556,0.444444,0.444444,0.444444,1,1,1
