pair_id,overlap_ratio,noise_type,snr_db,cer_mixed,cer_sep,cer_energy_trim,cer_flatness_gate,cer_flatness_relenergy_gate,fired_energy_trim,fired_flatness_gate,fired_flatness_relenergy_gate
3,0.3,white,10.0,0.722222,0.611111,0.611111,0.555556,0.555556,0,1,1
3,0.3,white,5.0,0.722222,0.888889,0.888889,0.944444,0.944444,0,1,1
3,0.3,white,0.0,1.0,1.0,1.0,1.0,0.777778,0,0,1
3,0.3,pink,10.0,0.722222,0.555556,0.555556,0.555556,0.444444,0,0,1
3,0.3,pink,5.0,0.722222,0.777778,0.777778,0.777778,0.777778,0,0,0
3,0.3,pink,0.0,0.833333,0.666667,0.666667,0.666667,0.666667,0,0,0
3,0.3,babble,10.0,0.555556,0.833333,0.833333,0.833333,0.833333,0,0,1
3,0.3,babble,5.0,0.944444,1.111111,1.111111,1.111111,1.666667,0,0,1
3,0.3,babble,0.0,1.611111,1.222222,1.222222,1.222222,1.277778,0,0,1
4,0.1,white,10.0,0.7,0.7,0.7,0.7,0.6,0,1,1
4,0.1,white,5.0,0.65,0.45,0.45,0.6,0.6,0,1,1
4,0.1,white,0.0,1.0,11.65,11.65,11.65,0.8,0,1,1
4,0.1,pink,10.0,0.6,0.6,0.6,0.6,0.6,0,0,0
4,0.1,pink,5.0,0.65,0.7,0.7,0.7,0.7,0,0,0
4,0.1,pink,0.0,0.95,0.9,0.9,0.9,0.9,0,0,1
4,0.1,babble,10.0,0.7,1.3,1.3,1.3,0.7,0,0,1
4,0.1,babble,5.0,1.0,2.1,2.1,2.1,2.05,0,0,1
4,0.1,babble,0.0,1.0,10.9,10.9,10.9,11.95,0,0,1
4,0.3,white,10.0,0.6,0.7,0.7,0.9,0.9,0,1,1
4,0.3,white,5.0,0.75,1.3,1.3,0.85,0.85,0,1,1
4,0.3,white,0.0,0.85,0.9,0.9,0.95,0.95,0,1,1
4,0.3,pink,10.0,0.85,0.85,0.85,0.85,0.85,0,0,0
4,0.3,pink,5.0,0.7,22.3,22.3,22.3,22.3,0,0,1
4,0.3,pink,0.0,0.85,0.95,0.95,0.95,0.95,0,0,1
4,0.3,babble,10.0,0.75,1.3,1.3,1.3,1.3,0,0,1
4,0.3,babble,5.0,0.9,1.45,1.45,1.45,1.5,0,0,1
4,0.3,babble,0.0,1.3,1.1,1.1,1.1,0.95,0,0,1
5,0.1,white,10.0,0.764706,0.764706,0.764706,0.882353,0.882353,0,1,1
5,0.1,white,5.0,0.823529,0.941176,0.941176,0.882353,0.882353,0,1,1
5,0.1,white,0.0,1.0,0.764706,0.764706,0.764706,0.941176,0,0,1
5,0.1,pink,10.0,0.588235,0.529412,0.529412,0.529412,0.529412,0,0,0
5,0.1,pink,5.0,0.764706,0.882353,0.882353,0.882353,0.882353,0,0,0
5,0.1,pink,0.0,0.882353,0.941176,0.941176,0.941176,0.941176,0,0,0
5,0.1,babble,10.0,0.764706,1.647059,1.647059,1.647059,1.705882,0,0,1
5,0.1,babble,5.0,0.764706,1.941176,1.941176,1.941176,6.176471,0,0,1
5,0.1,babble,0.0,1.117647,0.941176,0.941176,0.941176,1.176471,0,0,1
5,0.3,white,10.0,0.823529,0.647059,0.647059,0.647059,0.647059,0,1,1
5,0.3,white,5.0,0.882353,0.882353,0.882353,1.0,1.0,0,1,1
5,0.3,white,0.0,1.0,0.941176,0.941176,0.941176,0.941176,0,0,1
5,0.3,pink,10.0,0.823529,0.588235,0.588235,0.588235,0.588235,0,0,0
5,0.3,pink,5.0,0.823529,0.882353,0.882353,0.882353,0.882353,0,0,0
5,0.3,pink,0.0,1.0,1.0,1.0,1.0,0.941176,0,0,1
5,0.3,babble,10.0,0.823529,10.529412,10.529412,10.529412,11.941176,0,0,1
5,0.3,babble,5.0,1.0,1.352941,1.352941,1.352941,1.764706,0,0,1
5,0.3,babble,0.0,1.0,1.352941,1.352941,1.352941,1.0,0,0,1
6,0.1,white,10.0,0.166667,0.333333,0.333333,0.444444,0.444444,0,1,1
6,0.1,white,5.0,0.388889,0.611111,0.611111,0.611111,0.611111,0,1,1
6,0.1,white,0.0,0.722222,0.722222,0.722222,0.722222,0.833333,0,0,1
6,0.1,pink,10.0,0.333333,0.5,0.5,0.5,0.5,0,0,0
6,0.1,pink,5.0,0.444444,0.611111,0.611111,0.611111,0.611111,0,0,0
6,0.1,pink,0.0,0.611111,0.888889,0.888889,0.888889,0.888889,0,0,0
6,0.1,babble,10.0,0.611111,0.333333,0.333333,0.333333,0.333333,0,0,1
6,0.1,babble,5.0,0.833333,7.0,7.0,7.0,7.0,0,0,1
6,0.1,babble,0.0,0.833333,1.5,1.5,1.5,1.5,0,0,0
6,0.3,white,10.0,0.388889,0.388889,0.388889,0.388889,0.388889,0,1,1
6,0.3,white,5.0,0.444444,0.777778,0.777778,0.666667,0.666667,0,1,1
6,0.3,white,0.0,0.722222,0.722222,0.722222,0.722222,0.777778,0,1,1
6,0.3,pink,10.0,0.277778,0.444444,0.444444,0.444444,0.444444,0,0,0
6,0.3,pink,5.0,0.555556,0.555556,0.555556,0.555556,0.555556,0,0,0
6,0.3,pink,0.0,0.555556,0.888889,0.888889,0.888889,0.888889,0,0,0
6,0.3,babble,10.0,0.666667,0.722222,0.722222,0.722222,0.722222,0,0,1
6,0.3,babble,5.0,0.666667,0.833333,0.833333,0.833333,0.833333,0,0,0
6,0.3,babble,0.0,1.055556,8.888889,8.888889,8.888889,9.055556,0,0,1
7,0.1,white,10.0,0.636364,0.818182,0.818182,0.818182,0.818182,0,1,1
7,0.1,white,5.0,0.727273,0.772727,0.772727,0.863636,0.863636,0,1,1
7,0.1,white,0.0,1.0,0.818182,0.818182,0.818182,0.818182,0,1,1
7,0.1,pink,10.0,0.590909,0.545455,0.545455,0.545455,0.545455,0,0,0
7,0.1,pink,5.0,0.409091,0.772727,0.772727,0.772727,0.772727,0,0,0
7,0.1,pink,0.0,0.5,0.863636,0.863636,0.863636,0.863636,0,0,0
7,0.1,babble,10.0,0.590909,0.590909,0.590909,0.590909,0.590909,0,0,1
7,0.1,babble,5.0,0.863636,0.863636,0.863636,0.863636,0.863636,0,0,1
7,0.1,babble,0.0,0.863636,2.045455,2.045455,2.045455,2.0,0,0,1
7,0.3,white,10.0,0.727273,0.636364,0.636364,0.636364,0.636364,0,1,1
7,0.3,white,5.0,0.727273,0.818182,0.818182,0.818182,0.818182,0,1,1
7,0.3,white,0.0,10.363636,0.727273,0.727273,0.727273,0.863636,0,1,1
7,0.3,pink,10.0,0.636364,0.5,0.5,0.5,0.5,0,0,0
7,0.3,pink,5.0,0.636364,0.863636,0.863636,0.863636,0.863636,0,0,0
7,0.3,pink,0.0,0.5,0.818182,0.818182,0.818182,0.863636,0,0,1
7,0.3,babble,10.0,0.590909,1.590909,1.590909,1.590909,1.636364,0,0,1
7,0.3,babble,5.0,0.727273,0.818182,0.818182,0.818182,1.136364,0,0,1
7,0.3,babble,0.0,0.863636,1.818182,1.818182,1.818182,1.681818,0,0,1
